"","ID","Area_ha","EcoBoundaryName_select","AdminBoundaryName_select","Low_frac","Mod_frac","High_frac","Median_BUI","MCE","CH4_MgC","CO_MgC","CO2_MgC","NMOG_MgC","PM10_MgC","PM25_MgC","SumC_direct_emissions","ER_CO_CO2","ER_CH4_CO2","Prop_surface","CO2e_Mg","X","Y","unit_id","MgC_perha"
"1","586",3676.85911654,"Taiga Shield East","Labrador",0.106,0.072,0.763,30.933,0.913,1270.64,16297.473,108981.222,3598.339,4938.91,4162.96,139249.545,0.15,0.012,0.77,489928.211,-58.9261593965349,52.0951928430936,3,37.8718739517648
"2","594",4084.59705893,"Taiga Shield East","Labrador",0.104,0.449,0.321,10.742,0.914,1157.419,14954.191,101550.626,3304.681,4536.06,3825.854,129328.831,0.147,0.011,0.77,454925.248,-62.017040200277,56.9838179931524,3,31.6625677231132
"3","593",1627.14734632,"Taiga Shield East","Labrador",0.187,0.135,0.545,47.63,0.91,543.586,6917.92,44562.319,1524.854,2092.758,1761.819,57403.256,0.155,0.012,0.77,201891.791,-65.9816428734135,52.4188437266476,3,35.2784621072116
"4","591",647.980803484,"Taiga Shield East","Labrador",0.164,0.402,0.325,29.204,0.912,201.806,2585.191,16980.217,570.389,782.861,659.532,21779.996,0.152,0.012,0.77,76598.096,-63.0545248538784,54.3953857915715,3,33.6121006716487
"5","592",879.091552775,"Taiga Shield East","Labrador",0.143,0.013,0.772,44.28,0.911,316.65,4039.5,26445.743,890.993,1222.871,1029.998,33945.755,0.153,0.012,0.77,119419.3,-65.1142453163549,52.4022157695003,3,38.6145844455501
"6","590",6529.57510878,"Taiga Shield East","Labrador",0.369,0.172,0.244,27.434,0.908,1685.172,21520.398,135937.604,4740.983,6506.493,5475.434,175866.084,0.158,0.012,0.77,617971.294,-64.3191675678145,53.0929431791023,3,26.9337715042931
"7","589",1488.88149054,"Taiga Shield East","Labrador",0.021,0.322,0.01,15.533,0.914,171.968,2217.195,14939.185,489.789,672.28,566.869,19057.285,0.148,0.012,0.77,67032.957,-62.5240500191876,54.6251447934161,3,12.799732632238
"8","581",817.768388244,"Atlantic Maritime","Nova Scotia",0.011,0.68,0.21,29.064,0.904,193.42,2455.983,14782.722,540.295,741.442,623.309,19337.17,0.166,0.013,0.77,67884.554,-63.8339296634811,44.7287712745691,5,23.6462674248424
"9","583",120.893229609,"Atlantic Maritime","Nova Scotia",0.101,0.255,0.012,90.745,0.894,16.729,209.594,1130.82,45.941,63.033,52.849,1518.966,0.185,0.015,0.77,5321.909,-65.7426665466937,43.6145407608461,5,12.5645249524124
"10","1807",124.133914951,"Atlantic Maritime","Nova Scotia",0.03,0.063,0.153,13.497,0.91,7.285,93.193,596.927,20.549,28.202,23.748,769.905,0.156,0.012,0.77,2705.94,-65.9524966770346,44.3431286409883,5,6.20221315265782
"11","584",118.269741545,"Atlantic Maritime","Nova Scotia",0.52,0.043,0.016,,0.937,3.401,47.75,455.567,10.758,14.781,12.639,544.897,0.105,0.007,0.752,1923.437,-65.2779200988045,43.7406190944719,5,4.60723928945659
"12","582",20264.7917853,"Atlantic Maritime","Nova Scotia",0.089,0.544,0.022,24.848,0.903,3257.801,41343.592,245888.189,9091.295,12475.623,10484.568,322541.068,0.168,0.013,0.77,1131957.987,-65.4677275255339,43.6400480499581,5,15.9163277578786
"13","588",1098.50053036,"Atlantic Maritime","New Brunswick",0,0,0.013,10.313,0.907,4.275,54.677,341.285,12.043,16.527,13.906,442.713,0.16,0.013,0.806,1554.827,-66.431697918335,45.5717989330906,7,0.403015736237209
"14","587",1179.41083751,"Atlantic Maritime","New Brunswick",0.002,0,0.004,12.652,0.905,1.95,24.865,150.151,5.47,7.506,6.31,196.253,0.166,0.013,0.806,688.774,-66.251150348865,45.7416881371053,7,0.166399183183982
"15","565",10485.6828878,"Hudson Plains","Ontario",0.104,0.346,0.445,97.076,0.906,3436.887,43365.706,265819.706,9541.828,13094.295,11009.45,346267.873,0.163,0.013,0.718,1217057.501,-77.3491487178409,51.5775118522747,18,33.022920557981
"16","572",7718.72615905,"Hudson Plains","Ontario",0.149,0.151,0.625,125.728,0.904,2810.314,35318.03,212734.697,7765.272,10655.901,8954.403,278238.617,0.166,0.013,0.718,977840.648,-78.3076320632776,51.7798755697785,18,36.0472196145698
"17","568",2606.02060003,"Hudson Plains","Ontario",0.135,0.45,0.3,107.931,0.905,858.604,10807.844,65368.378,2376.795,3261.595,2741.221,85414.437,0.165,0.013,0.718,300166.694,-77.4496123304421,51.7175872469287,18,32.7758103673535
"18","563",1776.34720316,"Hudson Plains","Ontario",0.096,0.329,0.435,93.134,0.906,552.953,6982.344,42951.158,1536.565,2108.653,1773.11,55904.783,0.163,0.013,0.718,196498.821,-77.0584719527113,51.7647394619018,18,31.4717657114269
"19","571",56824.0160152,"Hudson Plains","Ontario",0.134,0.301,0.443,133.664,0.904,19764.78,248121.915,1486201.6,54541.752,74844.088,62883.063,1946357.198,0.167,0.013,0.718,6839890.845,-77.8544739899699,52.0633054575185,18,34.2523695875238
