"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"1","BSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"2","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"3","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"4","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"5","BSE","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","High","0","TRUE","Canopy"
"6","BSE","6","Softwood Foliage","CO2","Crown Fraction Burned","","NA","CFB*FlamingCO2","Ellen provides","High","0.868","TRUE","Canopy"
"7","BSE","7","Softwood Foliage","CH4","Crown Fraction Burned","","NA","CFB*FlamingCH4","Ellen provides","High","0.005","TRUE","Canopy"
"8","BSE","8","Softwood Foliage","CO","Crown Fraction Burned","","NA","CFB*FlamingCO","Ellen provides","High","0.07","TRUE","Canopy"
"9","BSE","9","Softwood Other","Softwood Other","unconsumed Live branches, stumps and small trees including bark","","NA","(1-(mortality rate of conifers)*branch fraction of ""other"" pool)+(1-(medium DOM consumption rate)*stump fraction of other pool)+(1-(global mortality of submerch conifers in severity class)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)","Note: unconsumed but dead bark remains in ""other"" pool here?","High","0.217636334443527","TRUE","Canopy"
"10","BSE","10","Softwood Other","Softwood Branch Snag","Portion of ""other"" pool as killed by fire but unconsumed branches","","NA","[CFB*(branch fract of other)+(fraction of branches consumed)]+[(mort-CFB)*(brach fract of other)]","Note: taking into account that large diameter branches don't get consumed in a crown fire, so they convert to snags. Also: given the mortality-CFB can sometimes be positive or negative, enforcing a min value of zero here.","High","0.648","TRUE","Canopy"
"11","BSE","11","Softwood Other","CO2","Proportional Combustion sum of branches, stumps, small trees and bark","","NA","(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO2","Assuming small trees (<1.3 height?) burn alongside litter","High","0.112248194470986","TRUE","Canopy"
"12","BSE","12","Softwood Other","CH4","Proportional Combustion sum of branches, stumps, small trees and bark","","NA","(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4","","High","0.000874446981682521","TRUE","Canopy"
"13","BSE","13","Softwood Other","CO","Proportional Combustion sum of branches, stumps, small trees and bark","","NA","(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO","","High","0.0117076510808374","TRUE","Canopy"
"14","BSE","19","Softwood Coarse Roots","Softwood Coarse Roots","Surviving coarse roots in conifers","","NA","1-(conifer mortality rate)","","High","0","TRUE","Surface"
"15","BSE","20","Softwood Coarse Roots","Aboveground Fast DOM","Coarse Roots killed in fire but not combusted in organic soil","","NA","(conifer mortality rate)*(conifer coarse root fraction in organic soil)","Note: assuming even if duff burns, coarse live roots don't burn alongside","High","0.5","TRUE","Surface"
"16","BSE","21","Softwood Coarse Roots","Belowground Fast DOM","Coarse Roots killed in fire but not combusted in mineral soil","","NA","(conifer mortality rate)*(conifer coarse root fraction in mineral soil)","","High","0.5","TRUE","Surface"
"17","BSE","22","Softwood Fine Roots","Softwood Fine Roots","Surviving fine roots","","NA","1-(conifer mortality rate)","","High","0","TRUE","Surface"
"18","BSE","23","Softwood Fine Roots","Aboveground Very Fast DOM","Fine roots killed but not burned in organic soil","","NA","(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed)","","High","0.340890874191096","TRUE","Surface"
"19","BSE","24","Softwood Fine Roots","Belowground Very Fast DOM","Fine roots killed but not burned in mineral soil","","NA","(conifer mortality rate)*(fine root fraction in mineral soil)","","High","0.5","TRUE","Surface"
"20","BSE","25","Softwood Fine Roots","CO2","Fine roots combusted alongside duff","","NA","(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2","","High","0.11185371544366","TRUE","Surface"
"21","BSE","26","Softwood Fine Roots","CH4","Fine roots combusted alongside duff","","NA","(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4","","High","0.00206841863551576","TRUE","Surface"
"22","BSE","27","Softwood Fine Roots","CO","Fine roots combusted alongside duff","","NA","(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO","","High","0.0256165692552336","TRUE","Surface"
"23","BSE","28","Hardwood Merchantable","Hardwood Merchantable","Survival rate of broadleaf trees","","NA","f(severity class,ecozone)","Ellen provides","High","0","TRUE","Canopy"
"24","BSE","29","Hardwood Merchantable","Hardwood Stem Snag","Mortality rate of broadleaves","","NA","mortality rate of broadleafs","Note: not accounting for trees killed that immediately fall to ground","High","1","TRUE","Canopy"
"25","BSE","30","Hardwood Merchantable","Black Carbon","Live broadleaf stemwood to black carbon (incomplete combustion) rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"26","BSE","31","Hardwood Foliage","Hardwood Foliage","Green fraction of canopy","","NA","(1-Mortality)*(1-CFB)","Ellen provides","High","0","TRUE","Canopy"
"27","BSE","32","Hardwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall","","NA","Mortality-CFB","Ellen provides","High","0","TRUE","Canopy"
"28","BSE","33","Hardwood Foliage","CO2","Crown Fraction Burned","","NA","CFB*FlamingCO2","Ellen provides","High","0.868","TRUE","Canopy"
"29","BSE","34","Hardwood Foliage","CH4","Crown Fraction Burned","","NA","CFB*FlamingCH4","Ellen provides","High","0.005","TRUE","Canopy"
"30","BSE","35","Hardwood Foliage","CO","Crown Fraction Burned","","NA","CFB*FlamingCO","Ellen provides","High","0.07","TRUE","Canopy"
"31","BSE","36","Hardwood Other","Hardwood Other","Surviving Live branches, stumps and small trees including bark","","NA","((1-mortality rate of deciduous)*branch fraction of ""other"" pool)+(1-CFB*stump fraction of other pool)+(1-small tree combustion rate f(severity)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)","","High","0.164836334443527","TRUE","Canopy"
"32","BSE","37","Hardwood Other","Hardwood Branch Snag","Portion of ""other"" pool as dead but unburned large branches","","NA","(mortality rate of deciduous*branch fraction of ""other"" pool)","","High","0.728","TRUE","Canopy"
"33","BSE","38","Hardwood Other","CO2","Proportional Combustion sum of branches, stumps, small trees and bark","","NA","(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO2","","High","0.0886385944709856","TRUE","Canopy"
"34","BSE","39","Hardwood Other","CH4","Proportional Combustion sum of branches, stumps, small trees and bark","","NA","(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCH4","","High","0.000738446981682521","TRUE","Canopy"
"35","BSE","40","Hardwood Other","CO","Proportional Combustion sum of branches, stumps, small trees and bark","","NA","(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO","","High","0.00980365108083738","TRUE","Canopy"
"36","BSE","46","Hardwood Coarse roots","Hardwood Coarse roots","Surviving deciduous coarse roots","","NA","1-deciduous mortality rate","","High","0.666053412","TRUE","Surface"
"37","BSE","47","Hardwood Coarse roots","Aboveground Fast DOM","Deciduous coarse roots in the duff that are killed but unconsumed","","NA","(deciduous mortality rate)*(deciduous coarse root fraction in organic soil)","","High","0.166973294","TRUE","Surface"
"38","BSE","48","Hardwood Coarse roots","Belowground Fast DOM","Deciduous coarse roots in the mineral soil that are killed but unconsumed","","NA","(deciduous mortality rate)*(deciduous coarse root fraction in mineral soil)","","High","0.166973294","TRUE","Surface"
"39","BSE","49","Hardwood Fine Roots","Hardwood Fine Roots","Surviving fine roots","","NA","1-conifer mortality rate","","High","0.55878945195559","TRUE","Surface"
"40","BSE","50","Hardwood Fine Roots","Aboveground Very Fast DOM","Fine roots killed but not burned in organic soil","","NA","(conifer mortality rate)*(coarse root fraction in organic soil)","","High","0.113839344316454","TRUE","Surface"
"41","BSE","51","Hardwood Fine Roots","Belowground Very Fast DOM","Fine roots killed but not burned in mineral soil","","NA","(conifer mortality rate)*(coarse root fraction in mineral soil)","","High","0.166973294","TRUE","Surface"
"42","BSE","52","Hardwood Fine Roots","CO2","Fine roots combusted alongside duff","","NA","(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO2","","High","0.11185371544366","TRUE","Surface"
"43","BSE","53","Hardwood Fine Roots","CH4","Fine roots combusted alongside duff","","NA","(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCH4","","High","0.00206841863551576","TRUE","Surface"
"44","BSE","54","Hardwood Fine Roots","CO","Fine roots combusted alongside duff","","NA","(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO","","High","0.0256165692552336","TRUE","Surface"
"45","BSE","55","Aboveground Very Fast DOM","Aboveground Very Fast DOM","Unburned fraction of The L horizonb comprised of foliar litter plus dead fine roots, approximately <5 mm diameter","","NA","0","all litter burns","High","0.05","TRUE","Surface"
"46","BSE","56","Aboveground Very Fast DOM","CO2","Combusted fraction of litter layer","","NA","(Aboveground Very Fast DOM)*FlamingCO2","","High","0.8246","TRUE","Surface"
"47","BSE","57","Aboveground Very Fast DOM","CH4","Combusted fraction of litter layer","","NA","(Aboveground Very Fast DOM)*FlamingCH4","","High","0.00475","TRUE","Surface"
"48","BSE","58","Aboveground Very Fast DOM","CO","Combusted fraction of litter layer","","NA","(Aboveground Very Fast DOM)*FlamingCO","","High","0.0665","TRUE","Surface"
"49","BSE","59","Belowground Very Fast DOM","Belowground Very Fast DOM","Uncombusted Fraction of Dead fine roots in the mineral soil, approximately <5 mm diameter","","NA","~1","","High","1","TRUE","Surface"
"50","BSE","60","Aboveground Fast DOM","Aboveground Fast DOM","Uncombusted Fine and small woody debris plus dead coarse roots in the forest floor, approximately <75 mm diameter","","NA","1-[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]","***Needs renaming, logic good ***Assume all woody fine+small woody debris is combusted, but only fractional combustion of dead coarse roots alongside duff","High","0.365890874191096","TRUE","Surface"
"51","BSE","61","Aboveground Fast DOM","CO2","Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM)","","NA","[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]*(Woody debris fraction of pool)*FlamingCO2+Root Fraction of pool*SmoulderingCO2)","","High","0.44577871544366","TRUE","Surface"
"52","BSE","62","Aboveground Fast DOM","CH4","Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM)","","NA","[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]*(Woody debris fraction of pool)*FlamingCH4+Root Fraction of pool*SmoulderingCH4)","","High","0.00824341863551576","TRUE","Surface"
"53","BSE","63","Aboveground Fast DOM","CO","Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM)","","NA","[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]*(Woody debris fraction of pool)*FlamingCO+Root Fraction of pool*SmoulderingCO)","","High","0.102091569255234","TRUE","Surface"
"54","BSE","64","Belowground Fast DOM","Belowground Fast DOM","Uncombusted fraction of Dead coarse roots in the mineral soil, approximately ò5 diameter","","NA","~1","Is it the case that all the Fast DOM goes to fast soil C???","High","1","TRUE","Surface"
"55","BSE","65","Medium DOM","Medium DOM","Uncombusted Coarse woody debris on the ground","","NA","1-combustion rate of CWD","","High","0.818","TRUE","Surface"
"56","BSE","66","Medium DOM","CO2","Combusted fraction of CWD","","NA","f(severty)*SmoulderingCO2","","High","0.127946","TRUE","Surface"
"57","BSE","67","Medium DOM","CH4","Combusted fraction of CWD","","NA","f(severty)*SmoulderingCH4","","High","0.002366","TRUE","Surface"
"58","BSE","68","Medium DOM","CO","Combusted fraction of CWD","","NA","f(severty)*SmoulderingCO","","High","0.029302","TRUE","Surface"
"59","BSE","69","Medium DOM","Black Carbon","Medium DOM converted to Black Carbon","","NA","","See Koroscil Msc thesis. Assume that some % of fire production actually lasts in the soil?","High","0","TRUE","Surface"
"60","BSE","70","Aboveground Slow DOM","Aboveground Slow DOM","Uncombusted fraction of duff and peat horizons","","NA","1-(fraction of duff consumed)","","High","0.697692660963082","TRUE","Surface"
"61","BSE","71","Aboveground Slow DOM","CO2","Combusted Fraction of duff and peat horizons","","NA","(fraction of duff consumed)*SmoulderingCO2","","High","0.212522059342954","TRUE","Surface"
"62","BSE","72","Aboveground Slow DOM","CH4","Combusted Fraction of duff and peat horizons","","NA","(fraction of duff consumed)*SmoulderingCH4","","High","0.00392999540747994","TRUE","Surface"
"63","BSE","73","Aboveground Slow DOM","CO","Combusted Fraction of duff and peat horizons","","NA","(fraction of duff consumed)*SmoulderingCO","","High","0.0486714815849439","TRUE","Surface"
"64","BSE","74","Belowground Slow DOM","Belowground Slow DOM","Uncombusted fraction of Humified organic matter in the mineral soil","","NA","1","","High","1","TRUE","Surface"
"65","BSE","75","Softwood Stem Snag","Medium DOM","Fraction of conifer snags that fall to ground but not combusted","","NA","[1-(Softwood snag combustion fraction f(severity)]*(snag fall rate)","","High","0.45","TRUE","Canopy"
"66","BSE","76","Softwood Stem Snag","Softwood Stem Snag","Uncombusted fraction of conifer snags (still upright)","","NA","[1-(Softwood snag combustion fraction f(severity)]*(1-snag fall rate)","","High","0","TRUE","Canopy"
"67","BSE","77","Softwood Stem Snag","CO2","Combusted fraction of conifer snags","","NA","(softwood snag combustion fraction f(severity))*FlamingCO2","From Patrick's data - to get radial consumption depth and a mean merch DBH per ecozone","High","0.4774","TRUE","Canopy"
"68","BSE","78","Softwood Stem Snag","CH4","Combusted fraction of conifer snags","","NA","(softwood snag combustion fraction f(severity))*FlamingCH4","","High","0.00275","TRUE","Canopy"
"69","BSE","79","Softwood Stem Snag","CO","Combusted fraction of conifer snags","","NA","(softwood snag combustion fraction f(severity))*FlamingCO","","High","0.0385","TRUE","Canopy"
"70","BSE","80","Softwood Stem Snag","Black Carbon","Portion of conifer snags that are converted to Black Carbon upon burning","","NA","","","High","0","TRUE","Canopy"
"71","BSE","81","Softwood Branch Snag","Aboveground Fast DOM","Portion of conifer snag branches that falls onto the ground?","","NA","[1-(Softwood branch snag combustion fraction f(severity)]*0.5","Assuming half of all unburned branches on snags fall to the ground, half of them remain on the snag","High","0.1","TRUE","Canopy"
"72","BSE","82","Softwood Branch Snag","Softwood Branch Snag","Unaltered fraction","","NA","[1-(Softwood branch snag combustion fraction f(severity)]*0.5","Assuming half of all unburned branches on snags fall to the ground, half of them remain on the snag","High","0","TRUE","Canopy"
"73","BSE","83","Softwood Branch Snag","CO2","Portion of conifer branch snags that are combusted","","NA","(softwood branch snag combustion fraction f(severity))*FlamingCO2","","High","0.7812","TRUE","Canopy"
"74","BSE","84","Softwood Branch Snag","CH4","Portion of conifer branch snags that are combusted","","NA","(softwood branch snag combustion fraction f(severity))*FlamingCH4","","High","0.0045","TRUE","Canopy"
"75","BSE","85","Softwood Branch Snag","CO","Portion of conifer branch snags that are combusted","","NA","(softwood branch snag combustion fraction f(severity))*FlamingCO","","High","0.063","TRUE","Canopy"
"76","BSE","86","Hardwood Stem Snag","Medium DOM","Portion of deciduous snags that falls onto the ground?","","NA","[1-(Hardwood snag combustion fraction f(severity)]*0.8","Not sure if we have any data on the stem snag fall rate over the longer term, but most stems that don't burn do fall down over the years.","High","0.45","TRUE","Canopy"
"77","BSE","87","Hardwood Stem Snag","Hardwood Stem Snag","Unaltered stem snag fraction","","NA","[1-(Hardwood snag combustion fraction f(severity)]*0.2","Not sure if we have any data on the stem snag fall rate over the longer term, but most stems that don't burn do fall down over the years. Assuming 80% fall over time?","High","0","TRUE","Canopy"
"78","BSE","88","Hardwood Stem Snag","CO2","Combusted fraction of deciduous snags","","NA","(hardwood snag combustion fraction f(severity))*FlamingCO2","","High","0.4774","TRUE","Canopy"
"79","BSE","89","Hardwood Stem Snag","CH4","Combusted fraction of deciduous snags","","NA","(hardwood snag combustion fraction f(severity))*FlamingCH4","","High","0.00275","TRUE","Canopy"
"80","BSE","90","Hardwood Stem Snag","CO","Combusted fraction of deciduous snags","","NA","(hardwood snag combustion fraction f(severity))*FlamingCO","","High","0.0385","TRUE","Canopy"
"81","BSE","91","Hardwood Stem Snag","Black Carbon","Portion of deciduous snags that are converted to Black Carbon upon burning","","NA","","","High","0","TRUE","Canopy"
"82","BSE","92","Hardwood Branch Snag","Aboveground Fast DOM","Portion of deciduous snag branches that falls onto the ground?","","NA","[1-(Hardwood branch snag combustion fraction f(severity)]*0.5","Assuming half of the unburned snag branches survive and fall to the ground","High","0.1","TRUE","Canopy"
"83","BSE","93","Hardwood Branch Snag","Hardwood Branch Snag","Portion of deciduous snag branches that survive a fire","","NA","[1-(Hardwood branch snag combustion fraction f(severity)]*0.5","Assuming half of the unburned snag branches survive and fall to the ground","High","0","TRUE","Canopy"
