"","ecozone","year","AreaWeightedBUIofSpread","n"
"1",1,2022,NA,7
"2",2,2003,28.8732360937657,2
"3",2,2013,100.695412529839,3
"4",2,2023,69.4959676405962,2
"5",3,2003,49.4355511915163,10
"6",3,2006,77.6844495457022,4
"7",3,2012,89.4689350987636,47
"8",3,2014,52.8393065216247,14
"9",3,2017,47.4894981384277,1
"10",3,2018,23.9950617281205,2
"11",3,2022,40.4029083924246,37
"12",3,2023,74.9807538619996,84
"13",4,2002,45.6245613958159,3
"14",4,2003,51.6899742501723,145
"15",4,2004,73.7487766691715,447
"16",4,2005,49.0332884018089,235
"17",4,2006,56.8362791343332,95
"18",4,2007,57.1489426832064,124
"19",4,2008,79.5345329235033,128
"20",4,2009,40.786335311235,25
"21",4,2010,48.2232558220244,23
"22",4,2011,77.164453750782,118
"23",4,2012,73.8903498246637,1146
"24",4,2013,73.3031756329636,478
"25",4,2014,103.207841975878,874
"26",4,2015,76.1189199010181,764
"27",4,2016,46.6668035076792,246
"28",4,2017,65.824038323233,501
"29",4,2018,64.0189403874894,162
"30",4,2019,62.6990445730729,161
"31",4,2020,59.6595480895593,22
"32",4,2021,61.5038632274356,666
"33",4,2022,83.367248606968,1601
"34",4,2023,74.324163227049,2204
"35",5,2002,46.8456813727736,132
"36",5,2003,41.6927964217426,303
"37",5,2004,83.8750533618097,384
"38",5,2005,39.0809468648053,20
"39",5,2006,73.0507984253386,74
"40",5,2007,46.900790729169,220
"41",5,2008,56.6048430813993,408
"42",5,2010,50.5649526031204,385
"43",5,2011,71.1039991335109,164
"44",5,2012,49.0737132596564,230
"45",5,2013,62.1658279015714,1113
"46",5,2014,101.138163986505,1355
"47",5,2015,78.7968135568104,234
"48",5,2016,65.644701467705,260
"49",5,2017,67.6947582331624,921
"50",5,2018,38.4503099759276,84
"51",5,2019,54.6201206409311,160
"52",5,2020,45.2295141710467,92
"53",5,2021,45.456758521487,712
"54",5,2022,64.9281723468919,1721
"55",5,2023,104.392310057874,1698
"56",6,2002,56.2483417736756,454
"57",6,2003,58.4145614850426,596
"58",6,2004,53.3690772433282,149
"59",6,2005,40.6116724115886,145
"60",6,2006,57.028449889296,550
"61",6,2007,39.4524962016701,129
"62",6,2008,55.6620593068777,301
"63",6,2009,33.0846398372355,12
"64",6,2010,59.8559284473253,682
"65",6,2011,55.760221752432,381
"66",6,2012,47.5944337924699,865
"67",6,2013,65.3584758192725,585
"68",6,2014,49.1245425011139,434
"69",6,2015,62.724859694911,732
"70",6,2016,35.9399983374505,133
"71",6,2017,53.349116695215,1134
"72",6,2018,42.7478715414431,436
"73",6,2019,60.9991279340318,220
"74",6,2020,44.0404199438179,31
"75",6,2021,70.3459542721802,3822
"76",6,2022,43.8900041801124,1061
"77",6,2023,58.471916278164,1444
"78",7,2014,33.8072130260549,1
"79",7,2015,15.5470600128174,1
"80",7,2016,65.1325454711914,1
"81",7,2017,12.8539127744324,2
"82",7,2022,13.9084147073056,3
"83",7,2023,23.4785125004618,2
"84",8,2015,31.4478702545166,1
"85",8,2018,42.6897222246443,1
"86",9,2002,49.8405971887666,731
"87",9,2003,60.3141372590386,108
"88",9,2004,56.9227087322199,39
"89",9,2005,47.8929322920795,30
"90",9,2006,52.1583342379085,201
"91",9,2007,77.6817174100539,113
"92",9,2008,44.1724180977876,48
"93",9,2009,44.7085027679938,39
"94",9,2010,45.1744763432503,39
"95",9,2011,72.1362270718852,118
"96",9,2012,89.2541270581872,273
"97",9,2013,66.3725990375214,129
"98",9,2014,75.0712292248277,213
"99",9,2015,76.586022376573,902
"100",9,2016,65.8564184566662,183
"101",9,2017,67.1971721735684,189
"102",9,2018,58.4540200643329,176
"103",9,2019,68.2789057759046,189
"104",9,2020,27.0395967207577,167
"105",9,2021,64.3527826850674,2568
"106",9,2022,51.5361319905885,778
"107",9,2023,88.3659861530689,1190
"108",10,2003,126.195537100135,5
"109",10,2004,23.7566146850586,2
"110",10,2009,31.0966540734078,4
"111",10,2010,23.0558916186003,1
"112",10,2012,99.9584181113208,6
"113",10,2013,NA,1
"114",10,2014,123.16091452072,1
"115",10,2015,50.5783173550559,4
"116",10,2017,159.113017483862,2
"117",10,2018,49.5387725830078,1
"118",10,2019,17.4395296459688,4
"119",10,2020,32.0318300977667,1
"120",10,2021,57.3615050832821,638
"121",10,2022,67.2706308526508,1
"122",10,2023,75.6299580541152,5
"123",11,2002,10.3147312623581,24
"124",11,2003,24.106284382694,22
"125",11,2004,63.037685123633,488
"126",11,2005,53.9002135987879,84
"127",11,2007,46.889213222269,24
"128",11,2008,26.8688430210812,7
"129",11,2009,50.2907257232276,15
"130",11,2010,39.3115856464177,47
"131",11,2011,28.9257599164806,5
"132",11,2012,46.5997391237325,51
"133",11,2013,31.0276609902191,30
"134",11,2015,21.0027127239862,79
"135",11,2017,71.6346663193568,229
"136",11,2018,20.8550244944654,21
"137",11,2019,42.0854791763537,40
"138",11,2020,26.3665197517134,9
"139",11,2021,63.3157866166542,169
"140",11,2022,45.4801714161975,182
"141",11,2023,56.2857863192062,148
"142",12,2002,30.1401107590126,43
"143",12,2003,51.4880797483743,161
"144",12,2004,60.7803032412159,1438
"145",12,2005,42.55607508347,64
"146",12,2006,37.8204291882408,85
"147",12,2007,34.5348572936072,41
"148",12,2008,8.49442006670134,10
"149",12,2009,66.9167008235968,282
"150",12,2010,62.6550810865208,179
"151",12,2011,35.4837157717877,33
"152",12,2012,45.7967294620601,208
"153",12,2013,42.4993788901535,336
"154",12,2014,53.5804303607036,70
"155",12,2015,47.4668688408331,383
"156",12,2016,42.5138568038106,57
"157",12,2017,44.7142208894287,72
"158",12,2018,75.4740548406471,328
"159",12,2019,70.9578864571333,361
"160",12,2021,45.4642348702877,376
"161",12,2022,47.2012022989877,1328
"162",12,2023,59.1559597276613,283
"163",13,2004,51.6041963884149,12
"164",13,2005,8.80972769221321,3
"165",13,2008,17.3604271600413,5
"166",13,2009,68.2356698779979,61
"167",13,2010,68.4315334839535,15
"168",13,2012,21.0035016171413,17
"169",13,2014,58.7564494532662,20
"170",13,2015,57.7922457962856,107
"171",13,2016,38.3430567402993,6
"172",13,2017,27.5059076606969,27
"173",13,2018,68.3789412632206,248
"174",13,2019,NA,2
"175",13,2021,125.086210705762,9
"176",13,2022,73.1682950504314,390
"177",13,2023,46.6315985271372,313
"178",14,2002,32.6581553568658,6
"179",14,2003,119.961953296366,864
"180",14,2004,48.2715340165993,186
"181",14,2005,69.4751779886873,16
"182",14,2006,71.6690388334102,128
"183",14,2007,99.3446680313671,85
"184",14,2008,24.5879558688654,22
"185",14,2009,99.1500369909285,480
"186",14,2010,118.658748114867,368
"187",14,2011,30.9597683418479,8
"188",14,2012,72.9046093737593,83
"189",14,2013,50.9538274787423,35
"190",14,2014,79.3364777666841,455
"191",14,2015,67.3737307547724,246
"192",14,2016,55.967481968637,15
"193",14,2017,123.828184305295,1338
"194",14,2018,107.902586032882,1796
"195",14,2019,128.607892307396,14
"196",14,2020,104.208455314394,126
"197",14,2021,122.392066410352,3879
"198",14,2022,72.5982410179515,1878
"199",14,2023,40.3089924278867,667
"200",15,2002,40.1753602385824,120
"201",15,2003,55.7160568918638,982
"202",15,2004,34.0399767230623,15
"203",15,2005,53.2873849480504,57
"204",15,2006,30.7305774278987,33
"205",15,2007,43.9578658088297,20
"206",15,2009,49.1858551568257,45
"207",15,2010,48.7209421870989,19
"208",15,2011,34.6513407056057,20
"209",15,2012,35.2692181296464,72
"210",15,2013,53.6611023086898,210
"211",15,2014,30.1091435678369,27
"212",15,2015,37.3800655143545,22
"213",15,2016,60.9296147987326,2
"214",15,2017,38.5798236651478,138
"215",15,2018,31.1695127636716,65
"216",15,2020,34.0940412313896,31
"217",15,2021,45.9732072344797,162
"218",15,2022,38.176387535221,4
"219",15,2023,42.2387097281387,979
"220",25,2002,40.2291505525227,259
"221",25,2003,35.8315670093185,193
"222",25,2004,29.4434726551455,2
"223",25,2005,37.283939399832,93
"224",25,2006,37.353085056488,3
"225",25,2007,24.7830817599634,30
"226",25,2009,28.5903855587296,27
"227",25,2010,32.768142153848,6
"228",25,2011,31.5856231811187,13
"229",25,2012,26.0462579403209,100
"230",25,2013,34.5609922644655,173
"231",25,2014,27.0536535124154,33
"232",25,2015,24.5737723363224,11
"233",25,2016,22.1174558934655,36
"234",25,2017,21.0148570879425,10
"235",25,2018,28.7854779194343,34
"236",25,2019,32.545108795166,1
"237",25,2020,17.9484955665573,16
"238",25,2021,31.6150371941966,50
"239",25,2022,24.9646382417123,17
"240",25,2023,63.0726497444085,249
"241",26,2002,48.0881685705004,189
"242",26,2003,51.4944654495623,65
"243",26,2004,38.2894796710074,3
"244",26,2005,38.7354318983048,200
"245",26,2006,37.5956571773341,33
"246",26,2007,29.5967991096815,159
"247",26,2008,14.4102686024561,1
"248",26,2009,40.7675767075934,58
"249",26,2010,50.7415747487042,110
"250",26,2011,21.0110766494068,9
"251",26,2012,33.9968082329121,94
"252",26,2013,37.3195858854494,248
"253",26,2014,28.0655450818485,17
"254",26,2015,47.5256713926793,7
"255",26,2016,21.2427206875066,21
"256",26,2017,17.5012959614266,9
"257",26,2018,42.9268846691554,89
"258",26,2019,27.677003286309,10
"259",26,2020,43.4100161535128,28
"260",26,2021,28.7712353741894,24
"261",26,2022,32.5142594918815,42
"262",26,2023,69.2899482686038,346
"263",NA,2012,22.688949100899,5
"264",NA,2016,37.683765411377,1
"265",NA,2017,113.495382106051,3
"266",NA,2018,NA,2
"267",NA,2019,42.5770474311767,4
"268",NA,2023,NA,11
