ECOZONE,year,DC05,DC25,DC50,DC75,DC95,nFire,Ecozone,Median.Forest.Floor.Load.kg.m2
12,2002,56.81370163,82.86433411,136.1206207,166.1844788,187.3912354,2,boreal cordillera,8.06
12,2003,0,97.36309814,282.7988434,329.6870728,366.8670654,4,boreal cordillera,8.06
12,2004,98.95279694,170.5105286,223.2661285,283.4866943,393.5248413,71,boreal cordillera,8.06
12,2005,93.69524384,128.3460541,239.1694641,355.5646362,484.3623962,3,boreal cordillera,8.06
12,2006,48.48681641,71.05253601,105.0580902,150.7365112,236.5218201,11,boreal cordillera,8.06
12,2007,0,20.16973305,72.12889862,118.1593781,239.448761,3,boreal cordillera,8.06
12,2008,0,0,11.36885357,26.70695305,39.66426468,1,boreal cordillera,8.06
12,2009,75.77172089,194.0404663,295.721344,350.9458923,401.8916016,22,boreal cordillera,8.06
12,2010,55.09401703,133.2019958,250.1231232,347.6656494,484.7567444,14,boreal cordillera,8.06
12,2011,67.24240875,70.56443024,77.69081116,99.87828064,117.6629944,6,boreal cordillera,8.06
12,2012,92.37812042,210.9392242,288.0510559,322.1517944,416.0938721,16,boreal cordillera,8.06
12,2013,74.79380798,138.6893616,173.5390778,250.0203552,309.8667603,17,boreal cordillera,8.06
12,2014,46.40213776,194.9921875,250.0854492,330.01828,393.7810059,2,boreal cordillera,8.06
12,2015,54.39474106,136.3339233,198.1837463,270.3852234,305.6027527,28,boreal cordillera,8.06
12,2016,133.2569885,136.033493,182.6310883,306.3790588,480.2047729,4,boreal cordillera,8.06
12,2017,115.9204865,162.6287842,214.2116547,272.6279602,371.3771667,6,boreal cordillera,8.06
12,2018,0,273.5849304,381.7235107,438.9200134,500.789978,22,boreal cordillera,8.06
12,2019,114.6451874,221.7432861,341.5986328,396.8588257,547.9690552,23,boreal cordillera,8.06
9,2002,103.3828354,132.1716766,160.2986298,198.3573151,296.5543213,28,boreal plains,9.55
9,2003,18.6648407,227.3604889,312.683197,382.9199524,481.4386292,14,boreal plains,9.55
9,2004,65.19892883,128.9951019,416.2585449,484.6709595,510.4656372,7,boreal plains,9.55
9,2005,70.3742218,129.202179,144.597702,177.2530212,209.9053955,5,boreal plains,9.55
9,2006,123.4535065,204.6348572,249.1345673,279.1572571,329.5048523,31,boreal plains,9.55
9,2007,165.8179016,257.2822266,332.7375793,389.1367188,412.5016174,8,boreal plains,9.55
9,2008,37.51885605,82.7039032,98.6805191,287.4883118,400.0046082,6,boreal plains,9.55
9,2009,0,140.5396881,158.3002472,179.0747833,237.9716797,11,boreal plains,9.55
9,2010,102.1357956,122.7752304,222.762146,344.3921204,357.4541626,7,boreal plains,9.55
9,2011,28.68084717,107.1260834,175.4360962,222.1210632,322.9813843,18,boreal plains,9.55
9,2012,216.6357269,295.0768127,421.2988586,501.1368713,589.8143311,19,boreal plains,9.55
9,2013,235.1774597,287.6382141,323.8066101,335.3999329,356.4499817,4,boreal plains,9.55
9,2014,56.96559143,189.8655396,290.6705627,417.3918762,507.9060974,16,boreal plains,9.55
9,2015,179.2722931,281.2020569,329.9945374,414.942688,506.359436,73,boreal plains,9.55
9,2016,116.6594086,176.0441589,217.6687927,239.8855591,256.4033508,10,boreal plains,9.55
9,2017,63.49263382,294.967041,428.0392761,476.4386292,531.4021606,12,boreal plains,9.55
9,2018,20.63444138,95.1446991,124.2544556,160.8592224,342.0867004,22,boreal plains,9.55
9,2019,64.49411011,113.9386139,229.9913177,305.9920044,430.7983093,6,boreal plains,9.55
9,2020,33.32141495,70.02278137,81.44944,87.22881317,99.18332672,7,boreal plains,9.55
26,2002,79.15557098,103.6602631,141.7837067,174.6770172,196.6064911,26,boreal shield east,10.65
26,2003,74.56812286,86.94558716,131.9632721,221.4278564,241.4133148,8,boreal shield east,10.65
26,2005,60.24685287,82.0259552,102.3010406,126.6419296,180.3482666,52,boreal shield east,10.65
26,2006,33.8659668,89.31562805,133.05336,155.3661957,173.3567657,8,boreal shield east,10.65
26,2007,42.90064621,54.85206985,74.17433929,97.2252121,127.4167557,40,boreal shield east,10.65
26,2009,38.06829071,81.58542633,101.8592072,121.9372177,158.8397827,13,boreal shield east,10.65
26,2010,34.67267227,98.85430908,124.3067703,173.3611908,206.2538452,17,boreal shield east,10.65
26,2011,57.55357361,69.70897675,82.94542694,115.270134,169.1618652,2,boreal shield east,10.65
26,2012,36.8614502,56.77874756,81.16186523,118.3798752,163.7893524,18,boreal shield east,10.65
26,2013,46.24743652,88.38633728,151.5731354,185.4758606,221.6842499,26,boreal shield east,10.65
26,2014,0,131.8144073,142.8440399,150.1174316,159.0933228,3,boreal shield east,10.65
26,2015,115.7215042,116.2610016,116.2610016,116.2610016,116.2610016,1,boreal shield east,10.65
26,2016,38.81328583,68.21717834,80.00943756,96.92513275,112.532814,7,boreal shield east,10.65
26,2017,43.37008286,43.53874969,44.61076736,52.08348465,59.27310562,2,boreal shield east,10.65
26,2018,58.18481827,129.5787201,212.6459198,256.1449585,349.0158691,13,boreal shield east,10.65
26,2019,23.26113319,37.00981903,85.58383179,101.5155487,198.7499237,3,boreal shield east,10.65
26,2020,96.67895508,118.1687775,124.3897324,127.1477509,140.1850281,2,boreal shield east,10.65
6,2002,107.8591003,142.0625916,167.6580658,197.2062378,226.5293427,42,boreal shield west,8.55
6,2003,174.5750275,217.2660828,260.0263977,323.9979248,444.67099,53,boreal shield west,8.55
6,2004,145.2882538,227.1809845,251.2103271,274.8088379,303.6473999,29,boreal shield west,8.55
6,2005,87.98918915,122.0588608,192.3489685,211.6333008,238.6699524,31,boreal shield west,8.55
6,2006,125.0687714,185.7457581,229.9726257,280.1164246,346.3566895,62,boreal shield west,8.55
6,2007,79.28678131,191.4833679,240.0062866,277.6741943,394.1611023,18,boreal shield west,8.55
6,2008,87.2922287,155.4148254,204.1625824,239.5469055,343.7349548,37,boreal shield west,8.55
6,2009,51.82506943,79.71537018,90.59932709,97.83747864,139.8937836,3,boreal shield west,8.55
6,2010,101.9013672,195.1329041,235.8338318,315.7362976,406.0015564,64,boreal shield west,8.55
