Site,Plot_R,FireType,Depth,FuelType,DOB,Load,FFFC,AveBD,FFMC,DMC,DC,Model,ISI,BUI,FWI,Frac_load_consump,Frac_load_consump_max1,Frac_depth_consump
Hondo,3b,Exp,4.121212121,D1,1.4,0.32,0.05,7.840767974,92.5,17,25,0.134,11.6,17,15,0.139,0.139,0.33
Hondo,2b,Exp,4.833333333,D1,1.2,0.37,0.06,7.687040793,91.7,14,29,0.154,6.3,14,8,0.152,0.152,0.24
Hondo,2a,Exp,4.035714286,D1,1.1,0.32,0.06,7.862872347,91.3,14,30,0.159,7.1,14,9,0.175,0.175,0.28
Hondo,3a,Exp,4.102564103,D1,1.6,0.32,0.06,7.845510621,92.4,18,35,0.184,12.1,18,15,0.19,0.19,0.39
Hondo,3c,Exp,4.029411765,D1,1.4,0.32,0.05,7.864538906,92.4,18,35,0.184,7.9,18,11,0.146,0.146,0.34
Hondo,4a,Exp,4.215686275,D1,2.2,0.33,0.05,7.817385621,92.5,21,41,0.214,11,21,15,0.153,0.153,0.51
Hondo,4b,Exp,4.177777778,D1,1.9,0.33,0.05,7.82664094,93.1,21,41,0.214,13,21,18,0.154,0.154,0.45
Hondo,4c,Exp,4.23255814,D1,1.8,0.33,0.05,7.813319687,92.1,21,41,0.214,9.4,21,14,0.153,0.153,0.43
Hondo,5a,Exp,4.6,D1,1.8,0.36,0.07,7.73216823,91.2,23,45,0.234,7.8,23,12,0.193,0.193,0.4
Hondo,5c,Exp,4.574468085,D1,2.2,0.35,0.18,7.737385621,84.7,23,45,0.234,2.3,23,4,0.5,0.5,0.47
Hondo,5b,Exp,4.621621622,D1,1.7,0.36,0.07,7.727794978,91.7,24,46,0.239,8,24,13,0.195,0.195,0.37
Hondo,3b&c,Exp,4.539473684,D1,3.5,0.19,0.41,4.141449275,91.9,29,53,0.274,7.9,29,14,2.16,1,0.76
Hondo,6a,Exp,3,D1,0.8,0.25,0.09,8.230718954,92.4,31,57,0.294,10,31,18,0.347,0.347,0.28
Hondo,6b,Exp,3.115384615,D1,0.8,0.25,0.09,8.177632534,91.2,33,62,0.319,8,33,15,0.345,0.345,0.26
Kenshoe,5,Exp,6.02,C3,3.5,1.35,0.6,22.45847176,89.5,28,65,0.334,17.3,28,24,0.444,0.444,0.581
Sharpsand,2,Exp,4.37,C4,2,1.19,0.44,27.1395881,89.4,25,73,0.374,6.8,27,12,0.371,0.371,0.46
Sharpsand,3,Exp,5.33,C4,2.9,1.62,0.69,30.4315197,89.5,25,73,0.374,8.9,27,15,0.425,0.425,0.54
Kenshoe,6,Exp,6.68,C3,3.3,1.79,0.57,26.76646707,87.2,35,78,0.399,3.3,35,8,0.319,0.319,0.496
Kenshoe,1,Exp,7.29,C3,2.4,2.19,0.38,30.05486968,89.4,33,79,0.404,5.9,33,12,0.173,0.173,0.328
Sharpsand,4,Exp,4.63,C4,2.6,1.3,0.62,28.16414687,89.4,28,82,0.419,8,30,14,0.475,0.475,0.564
Kenshoe,2,Exp,6.76,C3,4,1.84,0.71,27.23372781,89.5,35,84,0.429,6.9,35,14,0.386,0.386,0.596
Kenshoe,3,Exp,7.45,C3,3.6,2.3,0.62,30.83221477,89.5,35,84,0.429,6.9,35,14,0.27,0.27,0.483
Kenshoe,7,Exp,6.53,C3,1.8,1.69,0.27,25.86523737,88.9,19,86,0.439,5.2,25,9,0.16,0.16,0.268
Kenshoe,8,Exp,6.5,C3,2.8,1.67,0.46,25.67692308,90.2,23,92,0.469,7.7,28,14,0.276,0.276,0.428
Sharpsand,7,Exp,3.7,C4,1.9,0.93,0.42,25.16216216,92.1,39,100,0.509,7.8,40,16,0.451,0.451,0.516
Sharpsand,5,Exp,4.32,C4,3.7,1.16,0.94,26.9212963,92.3,44,108,0.549,9.8,44,20,0.808,0.808,0.866
Kenshoe,4,Exp,6.25,C3,3.1,1.5,0.52,24.064,88.6,30,117,0.594,6.4,36,13,0.346,0.346,0.49
