Spp,Value,Phase,VarName,,,,,Carbon content of fuels,,510,g/kg,"using 45.7% carbon content of fuels as per Permer, Liu, WE-CAN campaign",,,,,,,,,,
CO2,0.868,Flaming,FlamingCO2,,,,,,,,,,,,,,,,,,,
CO,0.07,Flaming,FlamingCO,,,,,,,,,,,,,,,,,,,
PM10,0.022,Flaming,FlamingPM10,,,,,,,,,,,,,,,,,,,
NMOG,0.016,Flaming,FlamingNMOG,,,,,,,,,,,,,g/kg of total carbon,,,% of total carbon,,,
PM25,0.019,Flaming,FlamingPM25,,,,,g/kg,%C,Flaming,Smouldering,Residual,Mean(Sm+Re),,,Flaming,Smouldering,,,,,
CH4,0.005,Flaming,FlamingCH4,,,,,Original CFFEPS ,,,,,,,,,,,,,,
BC,0.001,Flaming,FlamingBC,,,,,Spp,,,,,,,,,,,,,,
CO2,0.703,Smouldering,SmoulderingCO2,,,,,CO2,,,,,,,,442.5,358.4,,0.868,0.703,,
CO,0.161,Smouldering,SmoulderingCO,,,,,CO,0.428571429,83,135,248,191.5,,,35.6,82.1,,0.07,0.161,,
PM10,0.048,Smouldering,SmoulderingPM10,,,,,PM10,0.714285714,16.05,27.38,40.75,34.065,,,11.5,24.3,,0.022,0.048,,
NMOG,0.035,Smouldering,SmoulderingNMOG,,,,,NMHC,0.4,19.85,33.87,56.08,44.975,,,7.9,18,,0.016,0.035,, (molar masss as formaldehyde)
PM25,0.04,Smouldering,SmoulderingPM25,,,,,PM2.5,0.714285714,13.6,23.2,34.53,28.865,,,9.7,20.6,,0.019,0.04,,
CH4,0.013,Smouldering,SmoulderingCH4,,,,,CH4,0.75,3.23,7.32,9.94,8.63,,,2.4,6.5,,0.005,0.013,,
BC,0,Smouldering,SmoulderingBC,,,,,BC,0.9,0.389,,,0.13,,,0.4,0.1,,0.001,0,,
