"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"1","BSW","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"2","TP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"3","TSW","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","0.9","TRUE","Canopy"
"4","BP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"5","BC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"6","BSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"7","TSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","0.9","TRUE","Canopy"
"8","MC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"9","HP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"10","TC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"11","PM","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"12","AM","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Low","1","TRUE","Canopy"
"13","BSW","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"14","TP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"15","TSW","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"16","BP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"17","BC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.35","TRUE","Canopy"
"18","BSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"19","TSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"20","MC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.26","TRUE","Canopy"
"21","HP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.19","TRUE","Canopy"
"22","TC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.35","TRUE","Canopy"
"23","PM","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.62","TRUE","Canopy"
"24","AM","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","Mod","0.66","TRUE","Canopy"
"25","BSW","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"26","TP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"27","TSW","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"28","BP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"29","BC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"30","BSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"31","TSE","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"32","MC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"33","HP","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"34","TC","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"35","PM","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"36","AM","1","Softwood Merchantable","Softwood Merchantable","Survival rate of large conifers","","NA","1-mortality rate","Ellen provides","High","0","TRUE","Canopy"
"37","BSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"38","TP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"39","TSW","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0.1","TRUE","Canopy"
"40","BP","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"41","BC","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"42","BSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0","TRUE","Canopy"
"43","TSE","2","Softwood Merchantable","Softwood Stem Snag","Mortality rate of large conifers","","NA","f(severity class,ecozone) from field obs","Note: not accounting for trees killed that immediately fall to ground","Low","0.1","TRUE","Canopy"
