YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,unit_id
2023.0000000000,591.0000000000,MAFiMS,Landsat,Processed imagery,Undetermined,2023/07/10,2023/07/13,,,2023/08/22,647.9808034800,647.9808034800,,NL,,,"20240530",2023_591,"3"
2023.0000000000,593.0000000000,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/24,2023/06/26,2023/06/24,,2023/07/05,1627.1473463000,1627.1473463000,,NL,,,"20240530",2023_593,"3"
2023.0000000000,592.0000000000,MAFiMS,Landsat,Processed imagery,Natural,2023/06/26,2023/07/07,2023/06/25,,2023/07/17,879.0915527700,879.0915527700,,NL,,,"20240530",2023_592,"3"
2023.0000000000,594.0000000000,MAFiMS,Landsat,Processed imagery,Natural,2023/07/04,2023/07/14,2023/07/05,,2023/08/27,4084.5970589000,4084.5970589000,,NL,,,"20240530",2023_594,"3"
2023.0000000000,590.0000000000,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/12,2023/06/26,2023/06/12,,2023/07/07,6529.5751088000,6529.5751088000,,NL,,,"20240530",2023_590,"3"
2023.0000000000,586.0000000000,MAFiMS,Landsat,Processed imagery,Natural,2023/06/25,2023/06/27,2023/06/26,,2023/09/22,3676.8591165000,3676.8591165000,,NL,,,"20240530",2023_586,"3"
2023.0000000000,589.0000000000,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023/06/03,2023/06/04,,,2023/07/05,1488.8814905000,1488.8814905000,,NL,,,"20240530",2023_589,"3"
2023.0000000000,581.0000000000,MAFiMS,Sentinel-2,Processed imagery,Human,2023/05/28,2023/05/29,2023/05/28,,2023/06/22,817.7683882400,817.7683882400,,NS,,,"20240530",2023_581,"5"
2023.0000000000,1788.0000000000,Agency,Ground survey,Direct from GPS,Natural,2023/03/22,2023/03/22,2023/03/22,,2023/03/22,57.3654774960,61.7158033500,true,NS,,,"20240530",2023_1788,"5"
2023.0000000000,1843.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/15,,2023/05/15,0.0092276978,0.0139065228,true,NS,,,"20240530",2023_1843,"5"
2023.0000000000,1871.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/07,,2023/05/17,0.2553276461,0.3385177011,true,NS,,,"20240530",2023_1871,"5"
