Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median
62.79040424,-113.8445807,1,2023,217,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-12,2023-08-25,2023-06-29,,2023-09-30,43522.44512,43522.44512,,NT,,,20240530,2023_217,721.781006,181.936996
64.12222557,-125.6494582,2,2023,337,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-29,2023-09-20,2023-06-29,2023-09-06,2023-09-16,17565.25541,17565.25541,,NT,,,20240530,2023_337,450.470001,91.925503
57.54464079,-114.8553041,3,2023,690,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-06-10,2023-09-24,,,2023-10-08,3429.823905,3429.823905,,AB,,,20240530,2023_690,447.895005,78.998501
61.15442442,-121.2032007,4,2023,216,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-09,2023-07-22,2023-06-05,2023-09-01,2023-09-15,1130.420703,1130.420703,,NT,,,20240530,2023_216,490.838501,109.5695
58.99999137,-107.3641079,5,2023,654,MAFiMS,Landsat,Processed imagery,Natural,2023-07-26,2023-07-30,2023-07-26,2023-08-06,2023-08-15,3929.060214,3929.060214,,SK,,,20240530,2023_654,405.766495,94.489998
54.51008839,-116.7088425,6,2023,712,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-02-03,2023-09-25,,,2023-06-15,56387.09113,56387.09113,,AB,,,20240530,2023_712,277.486496,76.299
60.80682513,-112.7961262,7,2023,315,MAFiMS,Landsat,Processed imagery,Natural,2023-07-22,2023-08-26,2023-07-10,,2023-10-13,1714.095144,1714.095144,,NT,,,20240530,2023_315,718.487976,165.123993
49.77334155,-119.9106019,8,2023,851,MAFiMS,Sentinel-2,Processed imagery,Human,2023-09-17,2023-09-22,2023-09-16,2023-10-26,2023-10-10,611.2388089,611.2388089,,BC,,,20240530,2023_851,847.752991,165.360001
48.64861649,-72.8986355,9,2023,486,MAFiMS,Landsat,Processed imagery,Natural,2023-06-02,2023-06-05,2023-06-01,2023-06-21,2023-08-01,1057.093052,1057.093052,,QC,,,20240530,2023_486,103.255997,40.816002
49.28289824,-72.41797594,10,2023,485,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-01,2023-06-05,2023-06-01,2023-07-15,2023-08-01,5463.421191,5463.421191,,QC,,,20240530,2023_485,110.989997,42.716499
54.3477325,-98.40799128,11,2023,110,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-29,2023-07-02,2023-06-29,,2023-07-31,277.9395098,277.9395098,,MB,,,20240530,2023_110,376.622986,107.462997
53.69437654,-104.5803605,12,2023,643,MAFiMS,Sentinel-2,Processed imagery,Human,2023-05-02,2023-05-04,2023-05-02,2023-05-19,2023-05-15,552.205674,552.205674,,SK,,,20240530,2023_643,231.624504,44.417999
66.90235061,-129.6886279,13,2023,253,MAFiMS,Landsat,Processed imagery,Natural,2023-07-16,2023-09-17,2023-07-14,,2023-09-25,35647.36153,35647.36153,,NT,,,20240530,2023_253,504.434998,146.341003
62.50112909,-127.9723659,14,2023,2144,MAFiMS,Landsat,Processed imagery,Undetermined,2023-07-21,2023-08-28,,,2023-09-08,435.4968422,435.4968422,,PC,NI,,20240530,2023_2144,300.067001,46.0375
53.43818125,-99.55727054,15,2023,117,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-29,2023-07-31,2023-06-29,,2023-08-15,22853.20588,22853.20588,,MB,,,20240530,2023_117,423.107498,79.296997
52.10571325,-89.81206242,16,2023,167,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-10,2023-06-12,2023-06-09,2023-07-13,2023-07-16,530.3257139,530.3257139,,ON,,,20240530,2023_167,185.606003,66.577004
56.68374015,-108.3327638,17,2023,665,MAFiMS,Landsat,Processed imagery,Natural,2023-07-29,2023-09-23,2023-07-29,2023-10-11,2023-10-08,6488.567362,6488.567362,,SK,,,20240530,2023_665,471.537994,88.490997
64.42166816,-114.4783414,18,2023,21,MAFiMS,Landsat,Processed imagery,Natural,2023-07-25,2023-08-10,2023-07-30,2023-10-01,2023-08-30,1728.963143,1728.963143,,NT,,,20240530,2023_21,705.08197,179.813004
59.56515839,-126.7748052,19,2023,779,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-28,2023-09-01,2023-06-23,,2023-09-07,11259.52113,11259.52113,,BC,,,20240530,2023_779,530.392029,92.189003
63.76490844,-133.8480616,20,2023,944,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-07-25,2023-08-29,2023-07-28,2023-10-27,2023-09-15,1521.449291,1521.449291,,YT,,,20240530,2023_944,435.177002,83.4715
60.82313501,-115.7027174,21,2023,320,MAFiMS,Sentinel-2,Processed imagery,Human,2023-05-14,2023-05-20,2023-05-14,,2023-10-13,2939.965653,2939.965653,,NT,,,20240530,2023_320,438.596985,98.039002
57.56337233,-115.5496946,22,2023,1686,Agency,Undefined,Manually delineated,Undetermined,2023-11-24,2023-12-07,2023-12-18,,2024-02-09,312.9839814,315.3804184,TRUE,AB,,,20240530,2023_1686,516.638977,81.370003
59.70508335,-115.9854712,23,2023,688,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-25,2023-09-23,2023-06-25,,2023-10-08,45201.28975,45201.28975,,AB,,,20240530,2023_688,647.809998,142.986496
55.65499154,-119.4235993,24,2023,722,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-06-06,2023-08-19,2023-06-04,,2023-09-15,6584.854236,6584.854236,,AB,,,20240530,2023_722,249.261993,70.446999
54.7406051,-125.1891008,25,2023,859,MAFiMS,Landsat,Processed imagery,Natural,2023-07-09,2023-09-14,2023-07-08,,2023-09-15,1327.550918,1327.550918,,BC,,,20240530,2023_859,531.830994,104.230999
47.12356188,-73.74048002,26,2023,487,MAFiMS,Landsat,Processed imagery,Natural,2023-06-02,2023-06-05,2023-06-01,2023-07-08,2023-08-01,953.7225374,953.7225374,,QC,,,20240530,2023_487,105.138,49.931
56.16007683,-91.59197898,27,2023,141,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-02,2023-07-03,2023-06-11,,2023-08-07,851.3933398,851.3933398,,MB,,,20240530,2023_141,193.214996,37.564999
65.99164778,-137.5434799,28,2023,942,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-26,2023-08-12,2023-07-27,2023-10-13,2023-08-23,19555.87458,19555.87458,,YT,,,20240530,2023_942,475.494995,111.393997
53.77187771,-73.23056391,29,2023,553,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-24,2023-07-08,2023-06-24,2023-08-12,2023-09-15,7498.762864,7498.762864,,QC,,,20240530,2023_553,226.182503,82.471001
58.24639582,-113.7790226,30,2023,2126,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-30,2023-07-20,2023-07-03,,2023-07-23,1411.165005,1411.165005,,PC,WB,,20240530,2023_2126,425.936493,90.051998
57.80554269,-113.3118918,31,2023,680,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-30,2023-07-21,2023-07-03,,2023-08-15,3957.317245,3957.317245,,AB,,,20240530,2023_680,243.102005,67.868
56.50062147,-103.3736195,32,2023,622,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-20,2023-09-27,2023-07-19,2023-10-05,2023-10-08,4820.817408,4820.817408,,SK,,,20240530,2023_622,529.639008,104.236
58.05895339,-112.6068582,33,2023,677,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-05-28,2023-09-27,2023-05-31,,2023-10-08,4049.759473,4049.759473,,AB,,,20240530,2023_677,358.354996,94.403
50.61328209,-92.54467883,34,2023,159,MAFiMS,Landsat,Processed imagery,Natural,2023-06-11,2023-07-07,2023-06-09,2023-09-05,2023-08-08,4107.90146,4107.90146,,ON,,,20240530,2023_159,276.872009,82.774002
55.22141354,-109.6300493,35,2023,673,MAFiMS,Landsat,Processed imagery,Natural,2023-05-12,2023-05-29,2023-05-16,2023-06-24,2023-07-08,5397.851106,5397.851106,,SK,,,20240530,2023_673,306.653992,103.596001
50.17624463,-114.9835884,36,2023,785,MAFiMS,Landsat,Processed imagery,Natural,2023-08-12,2023-08-18,2023-08-06,2023-10-25,2023-09-07,1823.928913,1823.928913,,BC,,,20240530,2023_785,491.234009,128.011002
59.71867986,-119.6838178,37,2023,692,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-09-16,2023-09-23,2023-09-19,,2023-10-08,4794.171548,4794.171548,,AB,,,20240530,2023_692,670.3685,102.852501
51.52893423,-76.88689679,38,2023,560,MAFiMS,Landsat,Processed imagery,Natural,2023-07-13,2023-08-06,2023-07-05,2023-08-19,2023-09-15,1319.201005,1319.201005,,QC,,,20240530,2023_560,326.306992,54.2645
61.52319626,-105.9579043,39,2023,31,MAFiMS,Landsat,Processed imagery,Natural,2023-07-25,2023-07-31,2023-08-02,,2023-08-15,1517.05131,1517.05131,,NT,,,20240530,2023_31,463.488999,114.398998
55.37789015,-126.7210898,40,2023,815,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-09,2023-07-20,2023-07-09,2023-11-21,2023-09-07,471.7611234,471.7611234,,BC,,,20240530,2023_815,398.671997,99.681999
59.16398052,-113.2268414,41,2023,361,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-05-28,2023-10-20,2023-05-29,,2023-10-21,162453.1843,162453.1843,,PC,WB,,20240530,2023_361,541.975006,140.9655
51.09756277,-118.381086,42,2023,800,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-22,2023-09-13,2023-07-17,2023-10-19,2023-09-07,1017.31079,1017.31079,,BC,,,20240530,2023_800,317.743988,79.982002
48.69627215,-74.17003974,43,2023,497,MAFiMS,Landsat,Processed imagery,Natural,2023-06-02,2023-06-12,2023-06-01,2023-07-06,2023-08-01,1830.663321,1830.663321,,QC,,,20240530,2023_497,85.045498,38.255999
52.30011014,-125.6853034,44,2023,822,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-09,2023-08-20,2023-07-08,2023-11-10,2023-09-22,3882.134861,3882.134861,,BC,,,20240530,2023_822,476.774002,113.686501
50.29849777,-115.6368705,45,2023,893,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-24,2023-09-09,2023-07-23,2023-10-24,2023-09-15,4216.004418,4216.004418,,BC,,,20240530,2023_893,532.085999,153.483002
63.42996624,-140.4039904,46,2023,978,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-23,2023-07-29,2023-07-24,2023-10-13,2023-08-08,434.5687103,434.5687103,,YT,,,20240530,2023_978,394.528,70.4505
54.82642801,-113.0968191,47,2023,703,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-05-04,2023-05-23,2023-05-03,,2023-06-15,1903.789699,1903.789699,,AB,,,20240530,2023_703,334.95401,73.153999
46.94569391,-73.35470649,48,2023,482,MAFiMS,Landsat,Processed imagery,Natural,2023-06-03,2023-06-05,2023-06-01,2023-06-30,2023-08-01,315.8720372,315.8720372,,QC,,,20240530,2023_482,116.107502,50.569
62.59060293,-112.776488,49,2023,34,MAFiMS,Landsat,Processed imagery,Natural,2023-07-26,2023-07-27,2023-07-22,2023-10-01,2023-08-20,646.3759463,646.3759463,,NT,,,20240530,2023_34,687.820984,184.207001
54.41170743,-89.65692115,50,2023,186,MAFiMS,Landsat,Processed imagery,Natural,2023-06-21,2023-06-26,2023-07-01,2023-10-02,2023-08-01,1771.375233,1771.375233,,ON,,,20240530,2023_186,209.167,54.1015
59.73045902,-134.2787016,51,2023,784,MAFiMS,Sentinel-2,Processed imagery,Human,2023-07-07,2023-09-01,2023-07-06,2023-11-21,2023-09-07,2110.691949,2110.691949,,BC,,,20240530,2023_784,406.75,120.206001
54.82873721,-105.7453142,52,2023,651,MAFiMS,Sentinel-2,Processed imagery,Human,2023-05-13,2023-05-19,2023-05-07,2023-06-05,2023-06-15,1150.509876,1150.509876,,SK,,,20240530,2023_651,282.161987,85.420998
56.93732144,-66.06703148,53,2023,525,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-03,2023-07-05,2023-07-02,2023-08-01,2023-08-03,486.8420196,486.8420196,,QC,,,20240530,2023_525,133.218002,45.903
64.54781916,-119.6660196,54,2023,244,MAFiMS,Landsat,Processed imagery,Natural,2023-07-11,2023-08-11,2023-07-22,2023-09-07,2023-09-15,8909.348315,8909.348315,,NT,,,20240530,2023_244,507.067993,112.700996
56.48189036,-104.3495591,55,2023,634,MAFiMS,Landsat,Processed imagery,Natural,2023-06-11,2023-07-01,2023-06-07,2023-08-05,2023-07-30,676.7867278,676.7867278,,SK,,,20240530,2023_634,267.007996,55.0895
47.59252012,-76.61122008,56,2023,602,MAFiMS,Landsat,Processed imagery,Natural,2023-06-02,2023-07-05,2023-06-01,2023-07-11,2023-09-26,254.4839374,254.4839374,,QC,,,20240530,2023_602,96.945,48.875999
59.76433644,-123.4405242,57,2023,357,MAFiMS,Landsat,Processed imagery,Natural,2023-06-10,2023-09-02,2023-06-04,,2023-09-05,31834.50987,31834.50987,,BC,,,20240530,2023_357,538.839996,86.32
64.50030688,-121.020828,58,2023,333,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-08-07,2023-09-17,,,2023-09-23,1715.240408,1715.240408,,NT,,,20240530,2023_333,568.625519,137.161003
49.60142171,-71.59082582,59,2023,479,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-03,2023-06-05,2023-06-01,2023-07-12,2023-08-01,558.9144165,558.9144165,,QC,,,20240530,2023_479,100.818001,39.636
54.32625232,-85.54308815,60,2023,191,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-24,2023-07-06,2023-06-28,2023-10-12,2023-08-30,4189.779373,4189.779373,,ON,,,20240530,2023_191,228.963501,55.959501
54.03927371,-126.379307,61,2023,884,MAFiMS,Landsat,Processed imagery,Natural,2023-05-09,2023-09-15,2023-07-07,2024-01-25,2023-09-15,9144.056112,9144.056112,,BC,,,20240530,2023_884,507.432999,106.8405
49.7506342,-125.708008,62,2023,878,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-08-15,2023-08-29,2023-08-03,2023-11-10,2023-10-10,1291.261291,1291.261291,,BC,,,20240530,2023_878,347.399002,77.3685
59.10844626,-104.9493405,63,2023,629,MAFiMS,Landsat,Processed imagery,Natural,2023-07-25,2023-08-26,2023-07-25,2023-08-28,2023-09-15,2847.173671,2847.173671,,SK,,,20240530,2023_629,409.015015,82.098999
60.03260909,-115.9412908,64,2023,322,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-03,2023-09-23,2023-07-03,,2023-10-08,2883.690831,2883.690831,,NT,,,20240530,2023_322,836.351013,154.955002
59.77259057,-121.578182,65,2023,778,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-08,2023-09-03,2023-07-10,,2023-09-22,4601.159594,4601.159594,,BC,,,20240530,2023_778,556.495972,100.253998
57.60284306,-103.3412638,66,2023,620,MAFiMS,Landsat,Processed imagery,Natural,2023-07-30,2023-08-26,2023-07-30,2023-08-31,2023-09-15,1259.570965,1259.570965,,SK,,,20240530,2023_620,335.200501,59.022999
63.49441892,-132.8558005,67,2023,939,MAFiMS,Landsat,Processed imagery,Undetermined,2023-07-28,2023-08-09,2023-07-25,2023-10-27,2023-08-30,419.5096011,419.5096011,,YT,,,20240530,2023_939,428.078003,81.832001
57.72372974,-115.8520639,68,2023,693,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-24,2023-11-24,2023-06-23,,2023-09-15,29574.14061,29574.14061,,AB,,,20240530,2023_693,437.006012,87.068001
58.1560682,-67.47489878,69,2023,537,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-11,2023-07-11,2023-07-10,2023-07-27,2023-09-12,623.8138303,623.8138303,,QC,,,20240530,2023_537,192.123001,47.029999
50.64044792,-89.98154237,70,2023,203,MAFiMS,Landsat,Processed imagery,Natural,2023-06-12,2023-08-14,2023-06-05,2023-10-06,2023-08-30,54033.28209,54033.28209,,ON,,,20240530,2023_203,307.153992,98.129997
49.59486417,-68.47256436,71,2023,469,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-04,2023-06-05,2023-06-01,2023-07-16,2023-08-01,1695.668017,1695.668017,,QC,,,20240530,2023_469,82.687,36.195
53.1615959,-123.6584587,72,2023,757,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-08,2023-08-05,2023-07-08,2023-09-05,2023-08-22,7026.625656,7026.625656,,BC,,,20240530,2023_757,558.877014,114.959
51.42310342,-82.10030678,73,2023,1618,Agency,Undefined,Undefined,Natural,2023-09-05,2023-09-05,2023-09-04,2023-10-12,,416.5626336,357.9582668,TRUE,ON,,,20240530,2023_1618,301.729996,16.907
