Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median,unit_id
52.0951928430936,-58.9261593965349,"1",2023,586,MAFiMS,Landsat,Processed imagery,Natural,2023/06/25,2023/06/27,2023/06/26,,2023/09/22,3676.85911654,3676.85911654,,NL,,,"20240530",2023_586,115.8055,30.9335,"3"
56.9838179931524,-62.017040200277,"2",2023,594,MAFiMS,Landsat,Processed imagery,Natural,2023/07/04,2023/07/14,2023/07/05,,2023/08/27,4084.59705893,4084.59705893,,NL,,,"20240530",2023_594,81.730503,10.7415,"3"
52.4188437266476,-65.9816428734135,"3",2023,593,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/24,2023/06/26,2023/06/24,,2023/07/05,1627.14734632,1627.14734632,,NL,,,"20240530",2023_593,176.007004,47.630001,"3"
54.3953857915715,-63.0545248538784,"4",2023,591,MAFiMS,Landsat,Processed imagery,Undetermined,2023/07/10,2023/07/13,,,2023/08/22,647.980803484,647.980803484,,NL,,,"20240530",2023_591,123.903,29.203501,"3"
52.4022157695003,-65.1142453163549,"5",2023,592,MAFiMS,Landsat,Processed imagery,Natural,2023/06/26,2023/07/07,2023/06/25,,2023/07/17,879.091552775,879.091552775,,NL,,,"20240530",2023_592,168.984002,44.280001,"3"
53.0929431791023,-64.3191675678145,"6",2023,590,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/12,2023/06/26,2023/06/12,,2023/07/07,6529.57510878,6529.57510878,,NL,,,"20240530",2023_590,103.923001,27.434,"3"
54.6251447934161,-62.5240500191876,"7",2023,589,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023/06/03,2023/06/04,,,2023/07/05,1488.88149054,1488.88149054,,NL,,,"20240530",2023_589,44.2645,15.5325,"3"
45.1364123424146,-61.8829262078617,"8",2023,1864,Agency,Ground survey,Direct from GPS,Human,,,2023/04/21,,2023/04/23,0.05576113488,0.07839920937,true,NS,,,"20240530",2023_1864,,,"5"
45.2876234599064,-62.0893921441747,"9",2023,1907,Agency,Ground survey,Direct from GPS,Human,,,2023/05/31,,2023/05/31,0.26724158,0.35369044233,true,NS,,,"20240530",2023_1907,,,"5"
45.5268615305403,-62.5714588456102,"10",2023,1817,Agency,Ground survey,Direct from GPS,Human,,,2023/04/10,,2023/04/14,1.10249995054,1.38149390826,true,NS,,,"20240530",2023_1817,,,"5"
