FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,Cumul_Area_ha,Fract_of_total,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
148743,BC,2021-K21001, ,50.9096,-120.8122,2021,6,28,2021-06-28 00:00,,,2020-2029,95980,95980,0.110787587,H, ,Fire, ,BC-2021-2021-K21001, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148265,BC,2021-K71086, ,50.2261,-121.5832,2021,6,30,2021-06-30 00:00,,,2020-2029,83671.3,179651.3,0.207367514,H, ,Fire, ,BC-2021-2021-K71086, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148327,BC,2021-K61884, ,50.3058,-120.0268,2021,7,12,2021-07-12 00:00,,,2020-2029,83342,262993.3,0.303567337,L, ,Fire, ,BC-2021-2021-K61884, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149242,BC,2021-C41602, ,51.4937,-121.617,2021,7,8,2021-07-08 00:00,,,2020-2029,73862,336855.3,0.388824607,L, ,Fire, ,BC-2021-2021-C41602, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148452,BC,2021-K21849, ,50.6622,-121.2018,2021,7,7,2021-07-07 00:00,,,2020-2029,63547.7,400403,0.462176308,L, ,Fire, ,BC-2021-2021-K21849, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148483,BC,2021-K71030, ,50.9456,-121.9177,2021,6,29,2021-06-29 00:00,,,2020-2029,44964.2,445367.2,0.514077488,H, ,Fire, ,BC-2021-2021-K71030, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148020,BC,2021-G41269, ,53.5995,-124.814,2021,6,30,2021-06-30 00:00,,,2020-2029,33418,478785.2,0.552651144,L, ,Fire, ,BC-2021-2021-G41269, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148605,BC,2021-N51800, ,49.7245,-118.0476,2021,7,8,2021-07-08 00:00,,,2020-2029,22049,500834.2,0.578101816,L, ,Fire, ,BC-2021-2021-N51800, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149353,BC,2021-R11562, ,53.5063,-126.1315,2021,7,6,2021-07-06 00:00,,,2020-2029,20750,521584.2,0.602053081,L, ,Fire, ,BC-2021-2021-R11562, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148739,BC,2021-K61882, ,49.742,-121.1041,2021,7,13,2021-07-13 00:00,,,2020-2029,19660.7,541244.9,0.624746992,L, ,Fire, ,BC-2021-2021-K61882, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149067,BC,2021-K52061, ,49.0892,-119.4862,2021,7,19,2021-07-19 00:00,,,2020-2029,19335,560579.9,0.647064954,H, ,Fire, ,BC-2021-2021-K52061, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149329,BC,2021-K21658, ,51.3485,-119.3933,2021,7,8,2021-07-08 00:00,,,2020-2029,16534,577113.9,0.666149783,L, ,Fire, ,BC-2021-2021-K21658, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149234,BC,2021-G61316, ,56.2893,-125.502,2021,6,30,2021-06-30 00:00,,,2020-2029,16314,593427.9,0.684980672,L, ,Fire, ,BC-2021-2021-G61316, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149092,BC,2021-K62088, ,49.1858,-120.6746,2021,7,19,2021-07-19 00:00,,,2020-2029,14735.3,608163.2,0.701989302,H, ,Fire, ,BC-2021-2021-K62088, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148098,BC,2021-N51765, ,49.5865,-118.1862,2021,7,3,2021-07-03 00:00,,,2020-2029,14032,622195.2,0.718186129,L, ,Fire, ,BC-2021-2021-N51765, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148316,BC,2021-G61192, ,55.7882,-124.5433,2021,6,5,2021-06-05 00:00,,,2020-2029,13659,635854.2,0.73395241,L, ,Fire, ,BC-2021-2021-G61192, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149192,BC,2021-C21250, ,51.43,-122.2371,2021,6,2,2021-06-02 00:00,,,2020-2029,12040,647894.2,0.747849915,L, ,Fire, ,BC-2021-2021-C21250, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148119,BC,2021-G61199, ,56.3877,-125.0223,2021,6,30,2021-06-30 00:00,,,2020-2029,10678,658572.2,0.760175294,L, ,Fire, ,BC-2021-2021-G61199, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149142,BC,2021-K51794, ,49.3616,-119.534,2021,7,11,2021-07-11 00:00,,,2020-2029,10597,669169.2,0.772407176,H, ,Fire, ,BC-2021-2021-K51794, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149086,BC,2021-G61132, ,55.3892,-124.5843,2021,6,30,2021-06-30 00:00,,,2020-2029,8412,677581.2,0.782116961,L, ,Fire, ,BC-2021-2021-G61132, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148091,BC,2021-C11491, ,53.2661,-123.9222,2021,7,5,2021-07-05 00:00,,,2020-2029,8100,685681.2,0.791466611,L, ,Fire, ,BC-2021-2021-C11491, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148338,BC,2021-G61381, ,56.787,-125.7108,2021,7,2,2021-07-02 00:00,,,2020-2029,7770,693451.2,0.80043535,L, ,Fire, ,BC-2021-2021-G61381, , ,2022-04-11 00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
148174,BC,2021-N71245, ,49.3163,-116.8813,2021,7,1,2021-07-01 00:00,,,2020-2029,7589,701040.2,0.809195165,L, ,Fire, ,BC-2021-2021-N71245, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149156,BC,2021-R91496, ,57.8668,-129.2931,2021,7,5,2021-07-05 00:00,,,2020-2029,7493.8,708534,0.817845092,L, ,Fire, ,BC-2021-2021-R91496, , ,2022-04-11 00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
148157,BC,2021-C41097, ,51.2125,-120.9229,2021,6,30,2021-06-30 00:00,,,2020-2029,7453,715987,0.826447925,L, ,Fire, ,BC-2021-2021-C41097, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149341,BC,2021-N61687, ,49.335,-118.3545,2021,7,8,2021-07-08 00:00,,,2020-2029,7431,723418,0.835025363,L, ,Fire, ,BC-2021-2021-N61687, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148148,BC,2021-C51290, ,52.054,-125.0824,2021,7,1,2021-07-01 00:00,,,2020-2029,7195,730613,0.843330392,H, ,Fire, ,BC-2021-2021-C51290, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148534,BC,2021-G72511, ,54.5042,-120.5935,2021,8,8,2021-08-08 00:00,,,2020-2029,6500,737113,0.850833198,L, ,Fire, ,BC-2021-2021-G72511, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148105,BC,2021-G80997, ,57.4972,-123.0157,2021,6,28,2021-06-28 00:00,,,2020-2029,6398.5,743511.5,0.858218845,L, ,Fire, ,BC-2021-2021-G80997, , ,2022-04-11 00:00,BC,4,4,Taiga Plain,Taiga des plaines
148028,BC,2021-N51705, ,49.6324,-117.4644,2021,7,8,2021-07-08 00:00,,,2020-2029,6023,749534.5,0.86517106,L, ,Fire, ,BC-2021-2021-N51705, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
149335,BC,2021-V11669, ,50.0495,-121.4527,2021,7,8,2021-07-08 00:00,,,2020-2029,5097.9,754632.4,0.871055453,L, ,Fire, ,BC-2021-2021-V11669, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148892,BC,2021-K42042, ,49.9315,-118.6371,2021,7,17,2021-07-17 00:00,,,2020-2029,5080.5,759712.9,0.876919762,L, ,Fire, ,BC-2021-2021-K42042, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
147764,BC,2021-K70804, ,50.1776,-121.5657,2021,6,16,2021-06-16 00:00,,,2020-2029,5017.1,764730,0.882710889,H, ,Fire, ,BC-2021-2021-K70804, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
