unit_id,Emissions,DisturbedArea,NIR2025Emissions_tCO2e_PerHa,Label
1,2687311,18469,146,NF BSE
3,3060645,30931,99,LB TSE
4,6245367,46653,134,LB BSE
5,1294614,12138,107,NS AM
7,1453914,13449,108,NB AM
11,4602561,33789,136,QC AM
12,49143,391,126,QC MP
15,199289740,2159470,92,QC BSE
16,171034159,1823371,94,ONT BSW
17,437677,3720,118,ONT MP
18,322841,2531,128,ONT HP
19,31985285,299422,107,ONT BSE
22,86152814,1020481,84,MB BSW
23,29455324,297644,99,MB BP
24,2053438,14252,144,MB SHP
27,248302637,2991780,83,SK BSW
28,198237819,2175497,91,SK BP
29,296147,3290,90,SK SHP
30,552308,11447,48,SK SAP
31,208545166,1443690,144,AB TP
32,68586792,469689,146,AB TSW
33,37277776,265670,140,AB BSW
34,747204382,4590051,163,AB BP
35,3357213,27987,120,AB SHP
36,31515274,172535,183,AB MC
37,2805153,21825,129,AB SAP
38,44938943,278736,161,BC TP
39,37403398,212386,176,BC BP
40,172314552,823656,209,BC BC
41,33750987,104927,322,BC PM
42,711503127,3772679,189,BC MC
44,53232,405,131,YT TP
45,20477748,103626,198,YT TC
46,214823315,1197504,179,YT BC
50,231766086,2025131,114,NWT TP
51,75443633,586159,129,NWT TSW
52,24540377,131035,187,NWT BP
53,207741,1763,118,NWT TC
54,217253,990,220,NWT BC
