Ecozone,FluxID,Source,Sink,ProcessSynonym,Phase,CORefFluxID,Pseudocode,Notes,SeverityClass,Value,InterimValue,SourceSurfaceCanopy
,1,Softwood Merchantable,Softwood Merchantable,Survival rate of large conifers,,,1-mortality rate,Ellen provides,Low,0.8,TRUE,Canopy
,1,Softwood Merchantable,Softwood Merchantable,Survival rate of large conifers,,,1-mortality rate,Ellen provides,Mod,0.5,TRUE,Canopy
,1,Softwood Merchantable,Softwood Merchantable,Survival rate of large conifers,,,1-mortality rate,Ellen provides,High,0.1,TRUE,Canopy
,2,Softwood Merchantable,Softwood Stem Snag,Mortality rate of large conifers,,,"f(severity class,ecozone) from field obs",Note: not accounting for trees killed that immediately fall to ground,Low,0.2,TRUE,Canopy
,2,Softwood Merchantable,Softwood Stem Snag,Mortality rate of large conifers,,,"f(severity class,ecozone) from field obs",Note: not accounting for trees killed that immediately fall to ground,Mod,0.5,TRUE,Canopy
,2,Softwood Merchantable,Softwood Stem Snag,Mortality rate of large conifers,,,"f(severity class,ecozone) from field obs",Note: not accounting for trees killed that immediately fall to ground,High,0.9,TRUE,Canopy
,3,Softwood Merchantable,Black Carbon,Live conifer to BC rate,,,0,live stemwood to BC should be precisely 0,Low,0,TRUE,Canopy
,3,Softwood Merchantable,Black Carbon,Live conifer to BC rate,,,0,live stemwood to BC should be precisely 0,Mod,0,TRUE,Canopy
,3,Softwood Merchantable,Black Carbon,Live conifer to BC rate,,,0,live stemwood to BC should be precisely 0,High,0,TRUE,Canopy
,4,Softwood Foliage,Softwood Foliage,Green fraction of canopy remaining intact after fire,,,"IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])",Ellen provides,Low,0.8,TRUE,Canopy
,4,Softwood Foliage,Softwood Foliage,Green fraction of canopy remaining intact after fire,,,"IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])",Ellen provides,Mod,0,TRUE,Canopy
