NFIREID,Unchanged to very low,Low,Moderate,High,Post-fire havest,NoData
1,69.03,86.67,206.64,328.77,0,0
2,48.33,46.35,100.8,447.93,0,0
3,72.18,8.91,131.4,2055.51,0,0.09
4,47.79,132.3,48.15,105.84,0,0.18
5,141.3,136.17,252.36,292.59,0,0.27
6,9.18,13.14,45.72,52.83,0,0
7,609.75,679.32,1639.35,3828.24,0,0.36
8,27.99,16.65,17.28,41.58,0,0.18
9,790.38,576.45,1291.95,3089.88,0,0.09
10,175.5,174.06,87.3,75.6,0,0.18
11,45.9,57.15,68.22,85.5,0,0.09
12,16.92,14.4,17.28,62.46,0,0.18
13,404.19,649.53,989.19,3236.31,0,0.09
14,36.81,44.55,111.42,186.03,0,0
15,163.44,119.16,250.56,1149.3,0,0.09
16,323.1,437.85,274.59,274.59,0,0.36
17,120.87,83.43,234.81,322.56,0,0.18
18,121.14,129.51,251.28,1071.99,0,0.18
19,61.92,59.31,31.86,398.07,0,0.18
20,167.22,241.11,290.25,1671.66,0,0.18
21,42.48,117.9,267.84,1303.83,0,0
22,113.67,165.33,155.34,1117.26,0,0.09
23,313.29,483.75,1100.43,4241.34,0,0
24,511.74,276.75,761.94,2740.77,0,0
25,59.4,29.79,31.77,139.86,0,0.09
26,168.48,128.79,166.23,393.93,0,0.27
27,93.06,103.86,69.66,719.37,0,0
28,61.56,97.65,9.81,195.48,0,0.09
29,41.85,95.94,97.92,204.3,0,0.09
30,47.16,52.29,67.41,34.29,0,0
31,133.47,148.05,140.31,1122.03,0,0.18
32,195.57,172.71,155.97,1126.35,0,0.09
33,190.17,174.6,144.99,1457.73,0,0.36
34,183.6,192.15,193.41,63.81,0,0
35,54.72,38.88,32.31,3.6,0,0
36,47.88,56.79,46.98,234.63,0,0.09
37,73.89,75.33,144.72,454.77,0,0
38,786.42,31.86,2431.8,8197.56,0,0.09
39,69.12,102.15,101.16,1352.88,0,0.27
40,64.35,112.41,131.94,909.72,0,0.09
41,39.78,48.6,87.57,1161.18,0,0.27
42,150.75,155.34,214.11,1584.9,0,0.09
43,23.13,24.3,42.39,172.8,0,0.18
44,978.03,11.52,1997.19,6438.42,0,0.27
45,23.31,0.81,84.42,251.46,0,0
46,159.21,155.07,132.3,1068.48,0,0.09
47,62.55,2.43,189.81,47.61,0,0.18
48,71.46,56.16,164.79,144.72,0,0.27
49,433.26,879.93,3193.02,10733.49,0,0.09
50,119.97,88.47,48.33,84.06,0,0.09
51,44.1,55.17,138.69,64.89,0,0.36
52,21.96,15.84,26.1,70.11,0,0
53,15.03,21.42,47.25,29.79,0,0.27
54,767.88,550.35,1339.2,8300.61,0,0.09
55,36.9,46.26,38.97,83.34,0,0.27
56,1880.55,24.84,9491.4,2008.98,0,0
57,5.22,10.71,15.21,42.12,0,0.18
58,401.94,454.41,716.22,693.81,0,0.18
59,28.71,46.71,107.28,108.81,0,0.36
60,70.92,34.2,56.43,240.75,0,0
61,96.21,120.15,208.98,937.89,0,0
62,9.99,6.93,28.98,63.63,0,0.18
63,188.28,251.01,392.4,1483.02,0,0.09
64,3.87,1.53,0.18,87.12,0,0.45
65,33.3,13.32,19.8,66.69,0,0.09
66,66.96,77.67,51.3,152.73,0,0.09
67,49.14,63.99,114.57,424.89,0,0
68,327.42,415.08,1036.8,3126.06,0,0
69,944.1,393.3,1347.21,7506.27,0,0.27
70,789.21,696.87,1432.44,2822.67,0,0.18
71,44.1,60.12,47.88,11.79,0,0.09
72,16.29,53.19,82.08,39.96,0,0
73,23.58,49.41,28.53,84.6,0,0
74,288.36,260.91,390.33,180.99,0,0.09
75,565.2,710.19,2796.3,5546.97,0,0
76,123.3,193.77,511.2,1585.35,0,0.18
77,210.42,372.96,1130.85,3377.07,0,0
78,46.98,115.47,330.93,277.38,0,0
79,151.38,206.1,225.9,3209.67,0,0.18
80,22.23,31.59,114.21,122.4,0,0.18
81,709.74,735.03,1951.2,4812.3,0,0.18
82,203.58,302.31,953.37,3628.71,0,0.18
83,4801.32,9481.77,46251.18,27939.78,0,0.18
84,752.94,694.44,1574.28,8988.3,0,0.63
85,545.31,572.4,1262.43,9314.46,0,0
86,2205.54,2018.16,5499.72,14755.86,0,0.27
87,245.79,588.15,1286.91,9025.11,0,0.18
88,112.5,107.19,177.3,1036.17,0,0.18
89,78.39,103.05,127.8,608.94,0,0.18
90,30.69,83.7,679.5,489.51,0,0.18
91,283.68,322.92,368.1,3329.01,0,0.09
92,446.4,845.28,977.94,3363.75,0,0.09
93,201.87,197.37,849.87,1689.39,0,0.18
94,1194.57,1435.05,1869.57,3926.88,0,0.36
95,279,416.25,371.79,624.6,0,0.36
96,275.4,354.15,432.81,918.72,0,0.09
97,1812.15,2438.1,2993.94,10084.5,0,0.09
98,382.86,360.18,555.39,2068.83,0,0.18
99,1649.7,970.65,3049.56,12642.12,0,0.09
100,947.97,2188.53,2158.56,4933.98,0,0.18
101,145.17,384.3,174.06,669.78,0,0.18
102,21.6,0,0,0,0,0.18
103,69.03,16.47,174.42,391.86,0,0.18
104,1108.89,1319.04,3130.65,3672.63,0,0.09
105,7.65,8.28,65.52,41.31,0,0.09
106,66.69,72.18,47.52,249.12,0,0.36
107,18,12.06,39.96,36.63,0,0
108,13.95,29.61,13.41,136.26,0,0
109,35.46,135.09,34.56,86.94,0,0
110,26.55,27.72,19.62,177.48,57.33,0.27
111,265.77,54.63,183.06,167.49,0,0.36
112,29.25,27.99,111.96,205.02,0,0.09
113,8.01,15.03,26.55,15.57,0,0.09
114,55.53,55.8,119.43,170.01,0,0.18
115,11.7,35.28,12.15,38.88,0,0
116,114.93,314.28,135.18,241.38,0,1.44
117,1184.13,429.84,3076.56,14369.4,3341.61,0
118,573.48,1799.1,766.17,3472.74,0,0.18
119,92.88,83.79,123.84,200.43,0,0
120,25.38,32.4,24.66,7.47,0,0.18
121,63.18,83.52,23.31,251.01,0,0.09
122,18.09,45.18,38.97,248.4,0,0.09
123,1715.94,4617.36,1280.43,1890.54,0,0.18
124,734.67,2562.93,1071.99,1766.79,0,0.27
125,470.88,1228.95,322.38,683.1,0,0.09
126,484.65,2943.45,1104.66,3222.81,0,0.09
127,24.84,61.2,12.6,23.58,0,0.27
128,25.38,35.01,77.49,19.98,0,0
129,1911.51,3953.88,2990.61,9519.75,0,0
130,213.66,455.22,236.34,1370.34,0,0.18
131,259.29,39.87,160.11,834.84,0,0
132,39.42,30.96,69.39,64.44,0,0.18
133,88.2,76.5,239.31,296.82,0,0
135,1170.36,2142.72,1506.42,5486.31,0,0.09
136,15.48,49.14,307.71,28.8,0,0
137,224.37,658.26,247.23,303.66,0,0.09
138,84.96,157.5,92.34,178.47,0,0
139,306.45,71.28,450.81,1621.98,30.24,0.18
140,24.84,2.61,20.52,169.83,0,0.36
141,142.65,294.48,425.34,24.75,0,0.09
143,95.4,0,5.31,2.88,0,0.09
144,61.38,14.58,8.46,191.43,0,0.36
145,234.45,315.09,249.03,819.72,0,0
146,39.51,24.66,51.12,569.16,0,0
147,129.87,509.22,161.1,269.1,0,0.27
148,44.73,36.18,174.33,157.5,0,0
149,121.23,205.74,376.47,250.29,0,0
150,6.39,18.81,8.37,58.77,0,0.09
151,130.05,85.14,94.59,1608.12,0,0.09
152,451.98,218.43,1139.4,2719.71,117.09,0
153,1008.27,255.96,178.2,400.32,158.31,0.18
154,25.92,7.2,32.4,48.96,3.87,0.18
155,134.55,130.32,178.38,376.29,14.76,0.09
156,801.99,136.35,4233.24,887.31,52.74,0.09
157,437.22,128.61,721.17,1570.95,117.81,0.18
158,73.08,37.26,288.36,477.63,74.79,0.18
159,270.09,642.69,696.24,2517.12,195.48,0.27
160,1441.98,2173.05,6714.45,2528.82,0,0
161,131.58,6.48,401.94,67.23,0,0.27
164,19.26,30.15,56.43,764.91,0,0.18
165,418.5,237.33,879.75,7133.31,0,0.09
166,409.95,1076.49,507.69,2329.92,0,0
167,65.07,150.48,93.24,275.4,0,0
168,8.1,20.88,103.5,23.49,0,0
169,92.61,263.7,150.12,499.41,0,259.83
170,94.77,132.39,53.37,391.05,0,0.09
171,9.81,71.1,79.47,231.75,0,0.18
172,66.6,23.85,93.06,793.71,0,0.09
173,49.68,32.58,219.78,1019.34,27,0.18
174,239.4,603.99,349.74,2332.89,0,0.09
175,42.93,60.12,108.18,285.3,0.72,0.09
176,873.45,1512.18,1319.85,5548.59,0,0.9
177,13.86,31.68,24.66,94.14,0,0.18
178,27,36,53.01,439.92,0,0.27
179,120.24,132.03,612.09,691.11,0,0.27
180,704.52,1398.15,352.53,363.78,0,0.18
181,185.58,476.19,326.61,780.57,0,0.09
182,62.19,62.73,97.56,9.36,0,0.09
183,66.78,80.28,79.2,45.63,0,0.27
184,39.78,50.58,84.33,115.2,0,0.09
185,40.32,77.49,113.22,5.13,0,0.27
186,180.63,813.78,275.49,616.32,0,0.18
187,133.2,238.59,263.16,789.21,0,0.09
188,32.67,20.25,17.01,202.41,0,0.09
189,671.94,2357.46,797.22,2259,0,0.18
190,106.92,326.61,496.08,612.63,0,0.27
191,1000.53,1624.77,693.9,1161.45,0,0.18
192,149.94,197.28,281.79,148.14,0,0.18
193,51.93,39.96,57.15,92.88,0,0
194,156.24,165.24,79.92,155.61,0,0.09
195,302.58,872.37,367.56,2025.27,0,0.27
196,58.59,24.48,122.94,45.18,0,0.27
197,33.66,42.48,100.17,11.52,0,0
198,3333.33,1586.34,9732.15,19573.38,2401.56,0
199,895.14,98.55,8973.45,4646.25,0,0.36
200,1768.23,57.6,7281.09,1491.48,0,0.36
201,1857.69,2932.02,1776.69,8455.77,1167.84,0.27
202,18,20.25,34.83,22.14,0,0.09
203,4248.45,6740.82,7858.44,36086.94,0,0.27
204,4300.29,6467.13,4113.27,17041.23,0,2127.87
205,1381.05,3148.92,2315.88,8315.73,0,0.18
206,1458.27,2424.78,1435.86,7812,0,0.09
207,2917.89,637.83,10957.23,19122.12,0,264.69
208,2556.72,5869.44,4751.82,17045.28,0,0
209,7.02,3.69,16.74,65.34,0,0
210,18.9,12.42,10.89,7.02,0,0.18
211,61.38,7.74,69.75,92.34,0,0.09
212,51.21,35.1,35.19,50.31,0,0.09
213,33.39,35.19,63.54,166.86,0,25.83
214,65.43,63.99,679.41,289.26,0,0.09
215,53.01,25.47,34.29,46.17,0,0
216,111.96,473.49,217.53,355.68,0,0.09
217,4777.11,6626.07,14415.39,14713.47,0,0.18
218,3121.38,279.45,6888.96,50308.47,0,0
219,8800.38,930.15,7162.56,46200.96,0,0.27
220,164.88,183.24,185.76,792.54,0,0
222,25.74,44.73,52.74,974.34,0,0
223,306.63,516.15,990.09,2884.68,0,0.63
224,221.76,469.71,1081.53,1462.5,0,0.18
225,31.32,57.78,46.89,25.74,0,0.18
226,270.27,86.67,127.8,77.76,0,0.18
228,51.3,43.56,144.81,103.23,0,0.09
229,90.36,162.99,649.53,221.58,0,0.09
230,47.25,74.34,117.99,109.53,0,0.18
231,11.52,19.98,22.68,109.62,0,0.18
232,1072.53,1750.41,15988.05,10413.36,0,0.18
233,71.64,116.01,106.38,581.13,0,0.09
234,22.59,18.9,30.33,366.75,0,0
235,82.35,150.66,230.22,1687.41,0,0
236,54.45,127.17,296.37,1090.08,0,0
237,154.35,351.09,983.34,3886.56,0,0
238,445.68,569.43,1047.51,5472.36,0,0.18
239,566.28,1104.57,2521.71,14104.44,0,0.09
240,162.99,650.61,1650.51,4465.62,0,0
241,323.55,437.04,1009.35,2878.47,0,0
242,783.99,2033.91,3973.77,4388.67,0,0.09
243,274.68,395.73,633.42,4371.21,0,0.18
244,327.6,732.42,1484.82,6321.06,0,0
245,1711.17,2153.7,2166.48,5469.3,0,0.27
246,245.61,453.33,664.74,1132.74,0,0.09
247,85.68,137.97,285.57,392.22,0,0.09
248,103.05,178.38,210.87,529.38,0,0.27
249,243.45,271.17,362.97,1101.6,0,0.18
250,36.54,32.67,26.37,153.54,0,0.27
251,1474.56,4635.45,2842.83,8800.83,0,0.27
252,982.08,1853.37,1910.07,3271.77,0,0
253,2673.27,3533.85,6956.73,21888.99,0,0.09
254,2622.69,3186.99,3763.53,24387.66,0,0.18
255,856.44,976.5,1082.61,8327.43,0,0
256,8.28,7.74,5.04,226.26,0,0
257,825.57,1158.21,1175.58,3752.82,0,0.09
258,792.45,977.4,938.52,3167.82,0,0.09
259,89.82,27.54,27.63,251.64,0,0.18
260,406.44,519.57,904.41,5271.48,0,0.36
261,23.4,33.93,50.4,154.8,0,0.09
262,995.85,1917.36,1228.86,3889.26,0,0.18
263,6.21,3.87,1.17,14.85,0,0.18
264,0.99,0.18,0.81,0.36,0,0
265,27.45,6.39,3.69,19.35,0,0.36
266,12.6,3.6,9.54,12.6,0,0.09
267,19.71,5.22,5.76,22.68,0,0.09
268,3.24,0.99,1.62,23.04,0,0.09
269,1.35,2.52,5.04,1.62,0,0.54
270,10.44,7.74,12.42,6.3,0,0
271,0.9,1.35,3.69,5.76,0,0.18
272,4.59,0,17.1,0.18,0,0.27
273,1.8,0,3.06,0.09,0,0.09
274,38.25,1.62,11.61,142.83,0,0.09
275,31.14,1.8,32.76,126.45,0,0.18
276,21.06,4.59,1.08,0.63,0,0.18
277,1.53,2.43,0.27,0.27,0,0
278,4.86,5.58,5.13,4.77,0,0.09
279,9.72,5.13,40.86,60.66,0,0.09
280,9.36,2.07,4.77,39.69,0,0.09
281,15.57,2.88,2.88,99.09,0,0.09
282,7.29,8.1,15.39,69.3,0,0.09
283,11.25,0,0.99,0,0,0
284,26.82,13.05,20.88,15.66,0,0.36
285,7.56,4.95,6.21,7.38,0,0.27
286,0.81,3.69,7.38,19.17,0,0
287,3.51,2.07,8.19,0,0,0.09
288,7.2,13.41,8.37,10.26,0,0
289,0,0.18,0.54,21.42,0,0
290,9.99,0.27,4.14,48.69,0,0.36
291,14.85,1.53,5.58,124.65,0,0.18
292,10.98,1.35,15.03,67.68,0,0.18
293,14.49,10.17,20.97,44.19,0,0.09
294,4.77,4.86,9.72,14.67,0,0.09
295,21.06,0.36,26.64,36.36,0,0
296,8.82,12.78,12.87,32.94,0,0.27
297,0.9,1.89,5.13,25.11,0,0
298,32.4,16.92,11.16,76.23,0,0.27
299,32.58,16.02,14.67,76.05,0,0.09
300,5.76,4.41,1.98,8.64,0,0.27
