EcoBoundaryName,AdminBoundaryName,SPUID,DMID,Name,DMStructureID,DMRow,DMColumn,Proportion,Source,Sink
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,1,20,1,Softwood Merchantable,Softwood Stem Snag
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,2,13,0.553556,Softwood Foliage,Aboveground Very Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,2,26,0.401799,Softwood Foliage,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,2,27,0.004464,Softwood Foliage,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,2,28,0.04018,Softwood Foliage,CO
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,3,21,0.980844,Softwood Other,Softwood Branch Snag
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,3,26,0.01724,Softwood Other,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,3,27,0.000192,Softwood Other,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,3,28,0.001724,Softwood Other,CO
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,4,4,1,Softwood Submerchantable,Softwood Submerchantable
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,5,15,0.5,Softwood Coarse Roots,Aboveground Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,5,16,0.5,Softwood Coarse Roots,Belowground Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,6,13,0.485833,Softwood Fine Roots,Aboveground Very Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,6,14,0.5,Softwood Fine Roots,Belowground Very Fast DOM
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,6,26,0.01275,Softwood Fine Roots,CO2
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,6,27,0.000142,Softwood Fine Roots,CH4
Boreal Shield East,Newfoundland,1,372,Wildfire for Newfoundland - Boreal Shield East (NIR2011),2,6,28,0.001275,Softwood Fine Roots,CO
